TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        9474.00000        9.15631
TAB:  US_District_of_Columbia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_District_of_Columbia Confirmed 5/24/2020   123     8110     9474    11025       10     8575    26426    12425
TAB:  US_District_of_Columbia Confirmed .           124     8225     9474    12676       10     9097    43695    12377
TAB:  US_District_of_Columbia Confirmed 5/26/2020   125     8334     9474    11375       10     9275    23976    12425
TAB:  US_District_of_Columbia Confirmed .           126     8406     9474    11014        5     9255    15956    11935
TAB:  US_District_of_Columbia Confirmed 5/28/2020   127     8492     9474    11578        6     8919    13467    11438
TAB:  US_District_of_Columbia Confirmed .           128     8538     9474    11250       10     8805    12440    11124
TAB:  US_District_of_Columbia Confirmed 5/30/2020   129     8717     9474    11205        7     9849    12561    11334
TAB:  US_District_of_Columbia Confirmed .           130     8801     9474    11322        8    10157    14162    11322
TAB:  US_District_of_Columbia Confirmed 6/1/2020    131     8857     9474    11375       21    10325    12425    11375
TAB:  US_District_of_Columbia Confirmed .           132     8886     9474    10978        8     9031    12072    10917
TAB:  US_District_of_Columbia Confirmed 6/3/2020    133     9016     9474    10989       10    10146    11952    11109
TAB:  US_District_of_Columbia Confirmed .           134     9120     9474    11027        8    10351    11949    11089
TAB:  US_District_of_Columbia Confirmed 6/5/2020    135     9199     9474    11025       21    10675    14175    11725
TAB:  US_District_of_Columbia Confirmed .           136     9269     9474    11025       23    10325    15225    11725
TAB:  US_District_of_Columbia Confirmed 6/7/2020    137     9332     9474    11095       13     9549    13337    11327
TAB:  US_District_of_Columbia Confirmed .           138     9389     9474    10978       11     9639    12072    11099
TAB:  US_District_of_Columbia Confirmed 6/9/2020    139     9474     9474    11034       14    10078    12070    11194
AAA2     1 US_District_of_Columbia Confirmed cc1=  .967644 cc2=  .559396 lx= 11.15631 if=  54 il=  59 3/21/2020  n=   5 now=    9474 end=      70003        98         0 U=    24.41 T=  105.0 p1= 638.9 p2=    13.5 ed=   162 7/2/2020    x1=  54. x2=  59. y1=  2.09 y2=  1.88     
GP: Confirmed US_District_of_Columbia 3/21/2020        59    9474    -          98        0     0   162 7/2/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .974446 cc2=  .596482 lx= 11.15631 if=  54 il=  60 3/22/2020  n=   6 now=    9474 end=      70003       102      2975 U=    28.44 T=  113.4 p1= 638.9 p2=    13.5 ed=   180 7/20/2020   x1=  54. x2=  60. y1=  2.09 y2=  1.88     
GP: Confirmed US_District_of_Columbia 3/22/2020        60    9474    -         102     2975     1   180 7/20/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .982108 cc2=  .573859 lx=  8.04631 if=  55 il=  60 3/22/2020  n=   5 now=    9474 end=       3122       102      2975 U=    13.50 T=   76.6 p1= -67.0 p2=   303.5 ed=   108 5/9/2020    x1=  55. x2=  60. y1=  1.60 y2=  1.23 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .982108 cc2=  .573859 lx=  8.04731 if=  55 il=  60 3/22/2020  n=   5 now=    9474 end=       3122       102      2975 U=    13.50 T=   76.6 p1= -67.0 p2=   303.5 ed=   108 5/9/2020    x1=  55. x2=  60. y1=  1.60 y2=  1.23 BEST
GP: Confirmed US_District_of_Columbia 3/22/2020        60    9474     3122     102     2975     1   108 5/9/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .977849 cc2=  .624295 lx=  6.46631 if=  54 il=  61 3/23/2020  n=   7 now=    9474 end=        643       120       172 U=    10.02 T=   66.2 p1= -93.2 p2=  1473.4 ed=    89 4/20/2020   x1=  54. x2=  61. y1=  1.22 y2=   .52     
GP: Confirmed US_District_of_Columbia 3/23/2020        61    9474      643     120      172     1    89 4/20/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .986421 cc2=  .608457 lx=  5.16631 if=  55 il=  61 3/23/2020  n=   6 now=    9474 end=        175       120       172 U=     3.53 T=   57.6 p1= -98.2 p2=  5413.7 ed=    65 3/27/2020   x1=  55. x2=  61. y1=   .73 y2=  -.97     
GP: Confirmed US_District_of_Columbia 3/23/2020        61    9474      175     120      172     1    65 3/27/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .984673 cc2=  .576425 lx=  5.15631 if=  56 il=  61 3/23/2020  n=   5 now=    9474 end=        173       120       172 U=     3.24 T=   57.8 p1= -98.2 p2=  5476.3 ed=    65 3/27/2020   x1=  56. x2=  61. y1=   .54 y2= -1.00 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .986263 cc2=  .576425 lx=  5.05631 if=  56 il=  61 3/23/2020  n=   5 now=    9474 end=        173       120       172 U=     3.24 T=   57.8 p1= -98.2 p2=  5476.3 ed=    65 3/27/2020   x1=  56. x2=  61. y1=   .54 y2= -1.00 BEST
GP: Confirmed US_District_of_Columbia 3/23/2020        61    9474      173     120      172     1    65 3/27/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .984208 cc2=  .650875 lx=  5.64631 if=  54 il=  62 3/24/2020  n=   8 now=    9474 end=        283       141       180 U=     6.16 T=   59.8 p1= -97.0 p2=  3347.7 ed=    74 4/5/2020    x1=  54. x2=  62. y1=   .94 y2=  -.36     
GP: Confirmed US_District_of_Columbia 3/24/2020        62    9474      283     141      180     1    74 4/5/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .990555 cc2=  .637001 lx=  5.35631 if=  55 il=  62 3/24/2020  n=   7 now=    9474 end=        211       141       180 U=     4.08 T=   58.3 p1= -97.8 p2=  4490.0 ed=    67 3/29/2020   x1=  55. x2=  62. y1=   .82 y2=  -.90     
GP: Confirmed US_District_of_Columbia 3/24/2020        62    9474      211     141      180     1    67 3/29/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .989005 cc2=  .611041 lx=  5.25631 if=  56 il=  62 3/24/2020  n=   6 now=    9474 end=        191       141       180 U=     3.37 T=   58.0 p1= -98.0 p2=  4960.2 ed=    65 3/27/2020   x1=  56. x2=  62. y1=   .60 y2= -1.18     
GP: Confirmed US_District_of_Columbia 3/24/2020        62    9474      191     141      180     1    65 3/27/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .984131 cc2=  .575883 lx=  5.19631 if=  57 il=  62 3/24/2020  n=   5 now=    9474 end=        180       141       180 U=     2.77 T=   58.1 p1= -98.1 p2=  5263.3 ed=    64 3/26/2020   x1=  57. x2=  62. y1=   .41 y2= -1.40 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .984133 cc2=  .575883 lx=  5.19931 if=  57 il=  62 3/24/2020  n=   5 now=    9474 end=        180       141       180 U=     2.77 T=   58.1 p1= -98.1 p2=  5263.3 ed=    64 3/26/2020   x1=  57. x2=  62. y1=   .41 y2= -1.40 BEST
GP: Confirmed US_District_of_Columbia 3/24/2020        62    9474      180     141      180     1    64 3/26/2020 
AAA1     1 US_District_of_Columbia Confirmed cc1=  .986999 cc2=  .670771 lx=  6.68631 if=  54 il=  63 3/25/2020  n=   9 now=    9474 end=        801       187       875 U=     9.95 T=   66.7 p1= -91.5 p2=  1182.8 ed=    90 4/21/2020   x1=  54. x2=  63. y1=  1.28 y2=   .38 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .986999 cc2=  .670771 lx=  6.69031 if=  54 il=  63 3/25/2020  n=   9 now=    9474 end=        801       187       875 U=     9.95 T=   66.7 p1= -91.5 p2=  1182.8 ed=    90 4/21/2020   x1=  54. x2=  63. y1=  1.28 y2=   .38 BEST
GP: Confirmed US_District_of_Columbia 3/25/2020        63    9474      801     187      875     1    90 4/21/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .979697 cc2=  .571448 lx= 11.15631 if=  58 il=  63 3/25/2020  n=   5 now=    9474 end=      70003       187       875 U=    33.03 T=  121.8 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  58. x2=  63. y1=  1.93 y2=  1.78     
GP: Confirmed US_District_of_Columbia 3/25/2020        63    9474    -         187      875     1   199 8/8/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .989763 cc2=  .688252 lx=  7.35631 if=  54 il=  64 3/26/2020  n=  10 now=    9474 end=       1566       231       875 U=    12.48 T=   72.1 p1= -83.5 p2=   605.0 ed=   101 5/2/2020    x1=  54. x2=  64. y1=  1.45 y2=   .65     
GP: Confirmed US_District_of_Columbia 3/26/2020        64    9474     1566     231      875     1   101 5/2/2020  
AAA1     1 US_District_of_Columbia Confirmed cc1=  .990670 cc2=  .674443 lx=  6.81631 if=  55 il=  64 3/26/2020  n=   9 now=    9474 end=        912       231       875 U=     9.02 T=   66.9 p1= -90.4 p2=  1038.8 ed=    88 4/19/2020   x1=  55. x2=  64. y1=  1.32 y2=   .32 BEST
AAA2     1 US_District_of_Columbia Confirmed cc1=  .990670 cc2=  .674443 lx=  6.81331 if=  55 il=  64 3/26/2020  n=   9 now=    9474 end=        912       231       875 U=     9.02 T=   66.9 p1= -90.4 p2=  1038.8 ed=    88 4/19/2020   x1=  55. x2=  64. y1=  1.32 y2=   .32 BEST
GP: Confirmed US_District_of_Columbia 3/26/2020        64    9474      912     231      875     1    88 4/19/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .984825 cc2=  .606860 lx= 11.15631 if=  58 il=  64 3/26/2020  n=   6 now=    9474 end=      70003       231       875 U=    31.97 T=  119.7 p1= 638.9 p2=    13.5 ed=   195 8/4/2020    x1=  58. x2=  64. y1=  1.93 y2=  1.74     
GP: Confirmed US_District_of_Columbia 3/26/2020        64    9474    -         231      875     1   195 8/4/2020  
AAA2     1 US_District_of_Columbia Confirmed cc1=  .975725 cc2=  .567477 lx= 11.15631 if=  59 il=  64 3/26/2020  n=   5 now=    9474 end=      70003       231       875 U=    35.76 T=  126.3 p1= 638.9 p2=    13.5 ed=   210 8/19/2020   x1=  59. x2=  64. y1=  1.88 y2=  1.74     
GP: Confirmed US_District_of_Columbia 3/26/2020        64    9474    -         231      875     1   210 8/19/2020 
AAA2     1 US_District_of_Columbia Confirmed cc1=  .992076 cc2=  .703401 lx=  7.57631 if=  54 il=  65 3/27/2020  n=  11 now=    9474 end=       1951       271      1225 U=    13.40 T=   74.1 p1= -79.4 p2=   485.6 ed=   105 5/6/2020    x1=  54. x2=  65. y1=  1.50 y2=   .68     
GP: Confirmed US_District_of_Columbia 3/27/2020        65    9474     1951     271     1225     3   105 5/6/2020  
