TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        1504.00000        7.31588
TAB:  New_Zealand Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 New_Zealand Confirmed cc1=  .856782 cc2=  .555271 lx=  3.31588 if=  40 il=  50 3/12/2020  n=  10 now=    1504 end=         27         5         0 U=    15.05 T=   58.0 p1= -98.2 p2=  5570.4 ed=    93 4/24/2020   x1=  40. x2=  50. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/12/2020        50    1504       27       5        0     0    93 4/24/2020 
AAA2     1 New_Zealand Confirmed cc1=  .908510 cc2=  .650311 lx=  3.31588 if=  37 il=  51 3/13/2020  n=  14 now=    1504 end=         27         5         0 U=    21.07 T=   62.3 p1= -98.2 p2=  5570.4 ed=   111 5/12/2020   x1=  37. x2=  51. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/13/2020        51    1504       27       5        0     0   111 5/12/2020 
AAA2     1 New_Zealand Confirmed cc1=  .894728 cc2=  .627467 lx=  3.31588 if=  38 il=  51 3/13/2020  n=  13 now=    1504 end=         27         5         0 U=    19.57 T=   61.5 p1= -98.2 p2=  5570.4 ed=   107 5/8/2020    x1=  38. x2=  51. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/13/2020        51    1504       27       5        0     0   107 5/8/2020  
AAA2     1 New_Zealand Confirmed cc1=  .871229 cc2=  .593879 lx=  3.31588 if=  39 il=  51 3/13/2020  n=  12 now=    1504 end=         27         5         0 U=    18.06 T=   60.7 p1= -98.2 p2=  5570.4 ed=   103 5/4/2020    x1=  39. x2=  51. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/13/2020        51    1504       27       5        0     0   103 5/4/2020  
AAA2     1 New_Zealand Confirmed cc1=  .833668 cc2=  .544993 lx=  3.31588 if=  40 il=  51 3/13/2020  n=  11 now=    1504 end=         27         5         0 U=    16.56 T=   59.8 p1= -98.2 p2=  5570.4 ed=    98 4/29/2020   x1=  40. x2=  51. y1=  1.20 y2=   .53     
GP: Confirmed New_Zealand 3/13/2020        51    1504       27       5        0     0    98 4/29/2020 
