TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4687.00000        8.45255
TAB:  US_Colorado_Arapahoe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .983157 cc2=  .629603 lx=  6.10255 if=  47 il=  54 3/16/2020  n=   7 now=    4687 end=        446        15        85 U=    11.93 T=   68.6 p1= -90.5 p2=  1050.9 ed=    96 4/27/2020   x1=  47. x2=  54. y1=  1.81 y2=  1.22     
GP: Confirmed US_Colorado_Arapahoe 3/16/2020        54    4687      446      15       85     1    96 4/27/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .974705 cc2=  .596741 lx=  5.31255 if=  48 il=  54 3/16/2020  n=   6 now=    4687 end=        202        15        85 U=    10.47 T=   64.0 p1= -95.7 p2=  2320.3 ed=    88 4/19/2020   x1=  48. x2=  54. y1=  1.53 y2=   .96     
GP: Confirmed US_Colorado_Arapahoe 3/16/2020        54    4687      202      15       85     1    88 4/19/2020 
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .968474 cc2=  .560226 lx=  4.45255 if=  49 il=  54 3/16/2020  n=   5 now=    4687 end=         85        15        85 U=     7.65 T=   58.3 p1= -98.2 p2=  5514.1 ed=    76 4/7/2020    x1=  49. x2=  54. y1=  1.21 y2=   .56 BEST
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .968733 cc2=  .560226 lx=  4.35255 if=  49 il=  54 3/16/2020  n=   5 now=    4687 end=         85        15        85 U=     7.65 T=   58.3 p1= -98.2 p2=  5514.1 ed=    76 4/7/2020    x1=  49. x2=  54. y1=  1.21 y2=   .56 BEST
GP: Confirmed US_Colorado_Arapahoe 3/16/2020        54    4687       85      15       85     1    76 4/7/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .984501 cc2=  .651168 lx=  4.45255 if=  47 il=  55 3/17/2020  n=   8 now=    4687 end=         85        18         0 U=     7.64 T=   58.4 p1= -98.2 p2=  5514.1 ed=    76 4/7/2020    x1=  47. x2=  55. y1=  1.49 y2=   .45     
GP: Confirmed US_Colorado_Arapahoe 3/17/2020        55    4687       85      18        0     0    76 4/7/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .978031 cc2=  .624477 lx=  4.45255 if=  48 il=  55 3/17/2020  n=   7 now=    4687 end=         85        18         0 U=     7.97 T=   58.6 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  48. x2=  55. y1=  1.32 y2=   .45     
GP: Confirmed US_Colorado_Arapahoe 3/17/2020        55    4687       85      18        0     0    77 4/8/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .970628 cc2=  .592664 lx=  4.45255 if=  49 il=  55 3/17/2020  n=   6 now=    4687 end=         85        18         0 U=     7.85 T=   58.5 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  49. x2=  55. y1=  1.21 y2=   .45     
GP: Confirmed US_Colorado_Arapahoe 3/17/2020        55    4687       85      18        0     0    77 4/8/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .958114 cc2=  .549866 lx=  4.45255 if=  50 il=  55 3/17/2020  n=   5 now=    4687 end=         85        18         0 U=     6.54 T=   57.9 p1= -98.2 p2=  5514.1 ed=    73 4/4/2020    x1=  50. x2=  55. y1=  1.21 y2=   .45     
GP: Confirmed US_Colorado_Arapahoe 3/17/2020        55    4687       85      18        0     0    73 4/4/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .987570 cc2=  .671342 lx=  4.45255 if=  47 il=  56 3/18/2020  n=   9 now=    4687 end=         85        22         0 U=     7.60 T=   58.3 p1= -98.2 p2=  5514.1 ed=    76 4/7/2020    x1=  47. x2=  56. y1=  1.49 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/18/2020        56    4687       85      22        0     0    76 4/7/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .982893 cc2=  .649560 lx=  4.45255 if=  48 il=  56 3/18/2020  n=   8 now=    4687 end=         85        22         0 U=     7.88 T=   58.4 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  48. x2=  56. y1=  1.32 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/18/2020        56    4687       85      22        0     0    77 4/8/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .977050 cc2=  .623497 lx=  4.45255 if=  49 il=  56 3/18/2020  n=   7 now=    4687 end=         85        22         0 U=     7.76 T=   58.4 p1= -98.2 p2=  5514.1 ed=    76 4/7/2020    x1=  49. x2=  56. y1=  1.21 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/18/2020        56    4687       85      22        0     0    76 4/7/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .967214 cc2=  .589249 lx=  4.45255 if=  50 il=  56 3/18/2020  n=   6 now=    4687 end=         85        22         0 U=     6.66 T=   58.1 p1= -98.2 p2=  5514.1 ed=    73 4/4/2020    x1=  50. x2=  56. y1=  1.21 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/18/2020        56    4687       85      22        0     0    73 4/4/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .976043 cc2=  .567795 lx=  4.45255 if=  51 il=  56 3/18/2020  n=   5 now=    4687 end=         85        22         0 U=     8.19 T=   58.5 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  51. x2=  56. y1=   .92 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/18/2020        56    4687       85      22        0     0    77 4/8/2020  
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .984166 cc2=  .682655 lx=  4.45255 if=  47 il=  57 3/19/2020  n=  10 now=    4687 end=         85        22         0 U=     8.44 T=   59.6 p1= -98.2 p2=  5514.1 ed=    79 4/10/2020   x1=  47. x2=  57. y1=  1.49 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    79 4/10/2020 
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .978905 cc2=  .662678 lx=  4.45255 if=  48 il=  57 3/19/2020  n=   9 now=    4687 end=         85        22         0 U=     8.86 T=   59.7 p1= -98.2 p2=  5514.1 ed=    80 4/11/2020   x1=  48. x2=  57. y1=  1.32 y2=   .31     
GP: Confirmed US_Colorado_Arapahoe 3/19/2020        57    4687       85      22        0     0    80 4/11/2020 
