TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       40847.00000       10.61759
TAB:  Colombia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Colombia Confirmed cc1=  .975261 cc2=  .641928 lx=  6.92759 if=  45 il=  53 3/15/2020  n=   8 now=   40847 end=       1020        34       751 U=    11.25 T=   66.8 p1= -97.5 p2=  4004.6 ed=    93 4/24/2020   x1=  45. x2=  53. y1=  1.94 y2=  1.22     
GP: Confirmed Colombia 3/15/2020        53   40847     1020      34      751     3    93 4/24/2020 
AAA1     1 Colombia Confirmed cc1=  .982248 cc2=  .628694 lx=  6.61759 if=  46 il=  53 3/15/2020  n=   7 now=   40847 end=        748        34       751 U=     9.20 T=   63.4 p1= -98.2 p2=  5460.8 ed=    85 4/16/2020   x1=  46. x2=  53. y1=  1.89 y2=  1.13 BEST
AAA2     1 Colombia Confirmed cc1=  .982350 cc2=  .628694 lx=  6.51759 if=  46 il=  53 3/15/2020  n=   7 now=   40847 end=        748        34       751 U=     9.20 T=   63.4 p1= -98.2 p2=  5460.8 ed=    85 4/16/2020   x1=  46. x2=  53. y1=  1.89 y2=  1.13 BEST
GP: Confirmed Colombia 3/15/2020        53   40847      748      34      751     3    85 4/16/2020 
AAA1     1 Colombia Confirmed cc1=  .978019 cc2=  .600054 lx=  6.61759 if=  47 il=  53 3/15/2020  n=   6 now=   40847 end=        748        34       751 U=     7.88 T=   61.9 p1= -98.2 p2=  5460.8 ed=    80 4/11/2020   x1=  47. x2=  53. y1=  1.89 y2=  1.13 BEST
AAA2     1 Colombia Confirmed cc1=  .978281 cc2=  .600054 lx=  6.51759 if=  47 il=  53 3/15/2020  n=   6 now=   40847 end=        748        34       751 U=     7.88 T=   61.9 p1= -98.2 p2=  5460.8 ed=    80 4/11/2020   x1=  47. x2=  53. y1=  1.89 y2=  1.13 BEST
GP: Confirmed Colombia 3/15/2020        53   40847      748      34      751     3    80 4/11/2020 
AAA1     1 Colombia Confirmed cc1=  .973442 cc2=  .565194 lx=  6.61759 if=  48 il=  53 3/15/2020  n=   5 now=   40847 end=        748        34       751 U=     8.63 T=   62.7 p1= -98.2 p2=  5460.8 ed=    83 4/14/2020   x1=  48. x2=  53. y1=  1.71 y2=  1.13 BEST
AAA2     1 Colombia Confirmed cc1=  .973499 cc2=  .565194 lx=  6.51759 if=  48 il=  53 3/15/2020  n=   5 now=   40847 end=        748        34       751 U=     8.63 T=   62.7 p1= -98.2 p2=  5460.8 ed=    83 4/14/2020   x1=  48. x2=  53. y1=  1.71 y2=  1.13 BEST
