TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Arizona_Maricopa Confirmed 5/26/2020   125     8448    14374    11008       13     8657    42431    16352
TAB:  US_Arizona_Maricopa Confirmed .           126     8627    14374    11056       10     9756    36515    15888
TAB:  US_Arizona_Maricopa Confirmed 5/28/2020   127     8896    14374    11417       21    11417    35845    19383
TAB:  US_Arizona_Maricopa Confirmed .           128     9112    14374    13010       16    11417    31597    18852
TAB:  US_Arizona_Maricopa Confirmed 5/30/2020   129     9522    14374    11948       18    11948    31597    19914
TAB:  US_Arizona_Maricopa Confirmed .           130     9815    14374    12479       15    11948    92137    20976
TAB:  US_Arizona_Maricopa Confirmed 6/1/2020    131     9937    14374    12479       14    12479    62398    22038
TAB:  US_Arizona_Maricopa Confirmed .           132    10536    14374    13010       17    13010    61336    24162
TAB:  US_Arizona_Maricopa Confirmed 6/3/2020    133    11068    14374    14072       18    13541   101165    27880
TAB:  US_Arizona_Maricopa Confirmed .           134    11229    14374    14603       11    14072   103289    31066
TAB:  US_Arizona_Maricopa Confirmed 6/5/2020    135    12091    14374    15134       11    15134    84171    35314
TAB:  US_Arizona_Maricopa Confirmed .           136    12761    14374    16197        9    16197   101165    33721
TAB:  US_Arizona_Maricopa Confirmed 6/7/2020    137    13498    14374    17790       13    17790    71426    23631
TAB:  US_Arizona_Maricopa Confirmed .           138    14003    14374    18852       12    18852    91606    25224
TAB:  US_Arizona_Maricopa Confirmed 6/9/2020    139    14374    14374    19383        7    16197    96916    25224
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .751469 cc2=  .501469 lx= 11.40318 if=  32 il=  47 3/9/2020   n=  15 now=   14374 end=      89605         2         0 U=   239.19 T=  614.2 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  32. x2=  47. y1=  2.43 y2=  2.37     
