TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      203736.00000       12.22458
TAB:  Peru Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Peru Confirmed cc1=  .980848 cc2=  .627294 lx= 14.22458 if=  46 il=  53 3/15/2020  n=   7 now=  203736 end=    1505416        43      3763 U=    40.59 T=  148.3 p1= 638.9 p2=    13.5 ed=   244 9/22/2020   x1=  46. x2=  53. y1=  2.52 y2=  2.35     
GP: Confirmed Peru 3/15/2020        53  203736    -          43     3763     3   244 9/22/2020 
AAA2     1 Peru Confirmed cc1=  .978814 cc2=  .600849 lx= 14.22458 if=  47 il=  53 3/15/2020  n=   6 now=  203736 end=    1505416        43      3763 U=    37.50 T=  141.1 p1= 638.9 p2=    13.5 ed=   229 9/7/2020    x1=  47. x2=  53. y1=  2.51 y2=  2.35     
GP: Confirmed Peru 3/15/2020        53  203736    -          43     3763     3   229 9/7/2020  
AAA1     1 Peru Confirmed cc1=  .968721 cc2=  .560473 lx=  8.22458 if=  48 il=  53 3/15/2020  n=   5 now=  203736 end=       3731        43      3763 U=    18.76 T=   81.1 p1= -98.2 p2=  5460.6 ed=   125 5/26/2020   x1=  48. x2=  53. y1=  1.76 y2=  1.50 BEST
AAA2     1 Peru Confirmed cc1=  .968726 cc2=  .560473 lx=  8.12458 if=  48 il=  53 3/15/2020  n=   5 now=  203736 end=       3731        43      3763 U=    18.76 T=   81.1 p1= -98.2 p2=  5460.6 ed=   125 5/26/2020   x1=  48. x2=  53. y1=  1.76 y2=  1.50 BEST
GP: Confirmed Peru 3/15/2020        53  203736     3731      43     3763     3   125 5/26/2020 
AAA1     1 Peru Confirmed cc1=  .977547 cc2=  .676035 lx=  8.22458 if=  44 il=  54 3/16/2020  n=  10 now=  203736 end=       3731        86      3763 U=    12.82 T=   71.0 p1= -98.2 p2=  5460.6 ed=   101 5/2/2020    x1=  44. x2=  54. y1=  2.11 y2=  1.33 BEST
AAA2     1 Peru Confirmed cc1=  .977618 cc2=  .676035 lx=  8.12458 if=  44 il=  54 3/16/2020  n=  10 now=  203736 end=       3731        86      3763 U=    12.82 T=   71.0 p1= -98.2 p2=  5460.6 ed=   101 5/2/2020    x1=  44. x2=  54. y1=  2.11 y2=  1.33 BEST
GP: Confirmed Peru 3/16/2020        54  203736     3731      86     3763     2   101 5/2/2020  
AAA1     1 Peru Confirmed cc1=  .969970 cc2=  .653742 lx=  8.22458 if=  45 il=  54 3/16/2020  n=   9 now=  203736 end=       3731        86      3763 U=    11.54 T=   69.3 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  54. y1=  2.11 y2=  1.33 BEST
AAA2     1 Peru Confirmed cc1=  .970075 cc2=  .653742 lx=  8.12458 if=  45 il=  54 3/16/2020  n=   9 now=  203736 end=       3731        86      3763 U=    11.54 T=   69.3 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  54. y1=  2.11 y2=  1.33 BEST
GP: Confirmed Peru 3/16/2020        54  203736     3731      86     3763     2    96 4/27/2020 
AAA2     1 Peru Confirmed cc1=  .979413 cc2=  .646080 lx= 14.22458 if=  46 il=  54 3/16/2020  n=   8 now=  203736 end=    1505416        86      3763 U=    33.20 T=  129.7 p1= 638.9 p2=    13.5 ed=   208 8/17/2020   x1=  46. x2=  54. y1=  2.52 y2=  2.28     
GP: Confirmed Peru 3/16/2020        54  203736    -          86     3763     2   208 8/17/2020 
AAA2     1 Peru Confirmed cc1=  .979556 cc2=  .626003 lx= 14.22458 if=  47 il=  54 3/16/2020  n=   7 now=  203736 end=    1505416        86      3763 U=    30.63 T=  123.8 p1= 638.9 p2=    13.5 ed=   196 8/5/2020    x1=  47. x2=  54. y1=  2.51 y2=  2.28     
GP: Confirmed Peru 3/16/2020        54  203736    -          86     3763     2   196 8/5/2020  
AAA2     1 Peru Confirmed cc1=  .974169 cc2=  .596205 lx= 14.22458 if=  48 il=  54 3/16/2020  n=   6 now=  203736 end=    1505416        86      3763 U=    31.41 T=  125.6 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  48. x2=  54. y1=  2.47 y2=  2.28     
GP: Confirmed Peru 3/16/2020        54  203736    -          86     3763     2   199 8/8/2020  
AAA2     1 Peru Confirmed cc1=  .983581 cc2=  .575333 lx= 14.22458 if=  49 il=  54 3/16/2020  n=   5 now=  203736 end=    1505416        86      3763 U=    26.18 T=  113.7 p1= 638.9 p2=    13.5 ed=   175 7/15/2020   x1=  49. x2=  54. y1=  2.47 y2=  2.28     
GP: Confirmed Peru 3/16/2020        54  203736    -          86     3763     2   175 7/15/2020 
AAA1     1 Peru Confirmed cc1=  .982082 cc2=  .693406 lx=  8.35458 if=  44 il=  55 3/17/2020  n=  11 now=  203736 end=       4249       117      3763 U=    13.03 T=   71.7 p1= -97.9 p2=  4794.9 ed=   102 5/3/2020    x1=  44. x2=  55. y1=  2.12 y2=  1.28 BEST
AAA2     1 Peru Confirmed cc1=  .982082 cc2=  .693406 lx=  8.35758 if=  44 il=  55 3/17/2020  n=  11 now=  203736 end=       4249       117      3763 U=    13.03 T=   71.7 p1= -97.9 p2=  4794.9 ed=   102 5/3/2020    x1=  44. x2=  55. y1=  2.12 y2=  1.28 BEST
GP: Confirmed Peru 3/17/2020        55  203736     4249     117     3763     2   102 5/3/2020  
AAA1     1 Peru Confirmed cc1=  .976741 cc2=  .675230 lx=  8.22458 if=  45 il=  55 3/17/2020  n=  10 now=  203736 end=       3731       117      3763 U=    11.56 T=   69.4 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  55. y1=  2.11 y2=  1.24 BEST
AAA2     1 Peru Confirmed cc1=  .976743 cc2=  .675230 lx=  8.15858 if=  45 il=  55 3/17/2020  n=  10 now=  203736 end=       3731       117      3763 U=    11.56 T=   69.4 p1= -98.2 p2=  5460.6 ed=    96 4/27/2020   x1=  45. x2=  55. y1=  2.11 y2=  1.24 BEST
GP: Confirmed Peru 3/17/2020        55  203736     3731     117     3763     2    96 4/27/2020 
AAA2     1 Peru Confirmed cc1=  .983198 cc2=  .666971 lx= 14.22458 if=  46 il=  55 3/17/2020  n=   9 now=  203736 end=    1505416       117      3763 U=    32.97 T=  129.1 p1= 638.9 p2=    13.5 ed=   206 8/15/2020   x1=  46. x2=  55. y1=  2.52 y2=  2.25     
GP: Confirmed Peru 3/17/2020        55  203736    -         117     3763     2   206 8/15/2020 
AAA2     1 Peru Confirmed cc1=  .984552 cc2=  .651218 lx= 14.22458 if=  47 il=  55 3/17/2020  n=   8 now=  203736 end=    1505416       117      3763 U=    30.71 T=  124.0 p1= 638.9 p2=    13.5 ed=   196 8/5/2020    x1=  47. x2=  55. y1=  2.51 y2=  2.25     
GP: Confirmed Peru 3/17/2020        55  203736    -         117     3763     2   196 8/5/2020  
AAA2     1 Peru Confirmed cc1=  .982158 cc2=  .628604 lx= 14.22458 if=  48 il=  55 3/17/2020  n=   7 now=  203736 end=    1505416       117      3763 U=    31.39 T=  125.5 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  48. x2=  55. y1=  2.47 y2=  2.25     
GP: Confirmed Peru 3/17/2020        55  203736    -         117     3763     2   199 8/8/2020  
AAA2     1 Peru Confirmed cc1=  .989719 cc2=  .611754 lx= 14.22458 if=  49 il=  55 3/17/2020  n=   6 now=  203736 end=    1505416       117      3763 U=    26.90 T=  115.5 p1= 638.9 p2=    13.5 ed=   178 7/18/2020   x1=  49. x2=  55. y1=  2.47 y2=  2.25     
GP: Confirmed Peru 3/17/2020        55  203736    -         117     3763     2   178 7/18/2020 
AAA2     1 Peru Confirmed cc1=  .984607 cc2=  .576359 lx= 14.22458 if=  50 il=  55 3/17/2020  n=   5 now=  203736 end=    1505416       117      3763 U=    25.45 T=  112.2 p1= 638.9 p2=    13.5 ed=   172 7/12/2020   x1=  50. x2=  55. y1=  2.44 y2=  2.25     
GP: Confirmed Peru 3/17/2020        55  203736    -         117     3763     2   172 7/12/2020 
AAA1     1 Peru Confirmed cc1=  .985912 cc2=  .708562 lx=  8.54458 if=  44 il=  56 3/18/2020  n=  12 now=  203736 end=       5138       145      3763 U=    13.74 T=   73.5 p1= -97.5 p2=  3965.3 ed=   105 5/6/2020    x1=  44. x2=  56. y1=  2.15 y2=  1.27 BEST
AAA2     1 Peru Confirmed cc1=  .985912 cc2=  .708562 lx=  8.54458 if=  44 il=  56 3/18/2020  n=  12 now=  203736 end=       5138       145      3763 U=    13.74 T=   73.5 p1= -97.5 p2=  3965.3 ed=   105 5/6/2020    x1=  44. x2=  56. y1=  2.15 y2=  1.27 BEST
GP: Confirmed Peru 3/18/2020        56  203736     5138     145     3763     2   105 5/6/2020  
AAA1     1 Peru Confirmed cc1=  .982103 cc2=  .693428 lx=  8.36458 if=  45 il=  56 3/18/2020  n=  11 now=  203736 end=       4292       145      3763 U=    12.17 T=   70.9 p1= -97.9 p2=  4746.9 ed=    99 4/30/2020   x1=  45. x2=  56. y1=  2.12 y2=  1.22 BEST
AAA2     1 Peru Confirmed cc1=  .982103 cc2=  .693428 lx=  8.36358 if=  45 il=  56 3/18/2020  n=  11 now=  203736 end=       4292       145      3763 U=    12.17 T=   70.9 p1= -97.9 p2=  4746.9 ed=    99 4/30/2020   x1=  45. x2=  56. y1=  2.12 y2=  1.22 BEST
GP: Confirmed Peru 3/18/2020        56  203736     4292     145     3763     2    99 4/30/2020 
AAA2     1 Peru Confirmed cc1=  .987357 cc2=  .685846 lx= 14.22458 if=  46 il=  56 3/18/2020  n=  10 now=  203736 end=    1505416       145      3763 U=    33.79 T=  131.2 p1= 638.9 p2=    13.5 ed=   210 8/19/2020   x1=  46. x2=  56. y1=  2.52 y2=  2.22     
