TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4679.00000        8.45084
TAB:  US_New_Jersey_Somerset Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .990097 cc2=  .580904 lx=  4.35084 if=  53 il=  58 3/20/2020  n=   5 now=    4679 end=         85        28        84 U=     3.62 T=   58.4 p1= -98.2 p2=  5504.7 ed=    66 3/28/2020   x1=  53. x2=  58. y1=  1.49 y2=   .11 BEST
GP: Confirmed US_New_Jersey_Somerset 3/20/2020        58    4679       85      28       84     2    66 3/28/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .966226 cc2=  .649999 lx=  5.18084 if=  50 il=  59 3/21/2020  n=   9 now=    4679 end=        177        34        85 U=     7.88 T=   63.0 p1= -96.2 p2=  2643.5 ed=    81 4/12/2020   x1=  50. x2=  59. y1=  1.64 y2=   .50     
GP: Confirmed US_New_Jersey_Somerset 3/21/2020        59    4679      177      34       85     3    81 4/12/2020 
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .980518 cc2=  .647184 lx=  4.46084 if=  51 il=  59 3/21/2020  n=   8 now=    4679 end=         86        34        85 U=     5.12 T=   58.7 p1= -98.2 p2=  5440.7 ed=    70 4/1/2020    x1=  51. x2=  59. y1=  1.50 y2=  -.07     
GP: Confirmed US_New_Jersey_Somerset 3/21/2020        59    4679       86      34       85     3    70 4/1/2020  
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .990165 cc2=  .636612 lx=  4.45084 if=  52 il=  59 3/21/2020  n=   7 now=    4679 end=         85        34        85 U=     4.45 T=   58.7 p1= -98.2 p2=  5504.7 ed=    69 3/31/2020   x1=  52. x2=  59. y1=  1.49 y2=  -.08 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .990700 cc2=  .636612 lx=  4.35084 if=  52 il=  59 3/21/2020  n=   7 now=    4679 end=         85        34        85 U=     4.45 T=   58.7 p1= -98.2 p2=  5504.7 ed=    69 3/31/2020   x1=  52. x2=  59. y1=  1.49 y2=  -.08 BEST
GP: Confirmed US_New_Jersey_Somerset 3/21/2020        59    4679       85      34       85     3    69 3/31/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .990213 cc2=  .612248 lx=  4.45084 if=  53 il=  59 3/21/2020  n=   6 now=    4679 end=         85        34        85 U=     3.82 T=   58.7 p1= -98.2 p2=  5504.7 ed=    67 3/29/2020   x1=  53. x2=  59. y1=  1.49 y2=  -.08 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .991537 cc2=  .612248 lx=  4.35084 if=  53 il=  59 3/21/2020  n=   6 now=    4679 end=         85        34        85 U=     3.82 T=   58.7 p1= -98.2 p2=  5504.7 ed=    67 3/29/2020   x1=  53. x2=  59. y1=  1.49 y2=  -.08 BEST
GP: Confirmed US_New_Jersey_Somerset 3/21/2020        59    4679       85      34       85     3    67 3/29/2020 
AAA1     1 US_New_Jersey_Somerset Confirmed cc1=  .991953 cc2=  .583705 lx=  4.45084 if=  54 il=  59 3/21/2020  n=   5 now=    4679 end=         85        34        85 U=     4.45 T=   58.7 p1= -98.2 p2=  5504.7 ed=    69 3/31/2020   x1=  54. x2=  59. y1=  1.04 y2=  -.08 BEST
AAA2     1 US_New_Jersey_Somerset Confirmed cc1=  .992618 cc2=  .583705 lx=  4.35084 if=  54 il=  59 3/21/2020  n=   5 now=    4679 end=         85        34        85 U=     4.45 T=   58.7 p1= -98.2 p2=  5504.7 ed=    69 3/31/2020   x1=  54. x2=  59. y1=  1.04 y2=  -.08 BEST
GP: Confirmed US_New_Jersey_Somerset 3/21/2020        59    4679       85      34       85     3    69 3/31/2020 
