TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       20415.00000        9.92403
TAB:  Dominican_Republic Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Dominican_Republic Confirmed cc1=  .925820 cc2=  .572267 lx=  7.18403 if=  42 il=  49 3/11/2020  n=   7 now=   20415 end=       1318         5       377 U=    27.60 T=   96.4 p1= -93.5 p2=  1548.9 ed=   161 7/1/2020    x1=  42. x2=  49. y1=  1.97 y2=  1.72     
GP: Confirmed Dominican_Republic 3/11/2020        49   20415     1318       5      377     1   161 7/1/2020  
AAA1     1 Dominican_Republic Confirmed cc1=  .894863 cc2=  .516898 lx=  5.92403 if=  43 il=  49 3/11/2020  n=   6 now=   20415 end=        373         5       377 U=    18.93 T=   76.7 p1= -98.2 p2=  5473.2 ed=   121 5/22/2020   x1=  43. x2=  49. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .894904 cc2=  .516898 lx=  5.82403 if=  43 il=  49 3/11/2020  n=   6 now=   20415 end=        373         5       377 U=    18.93 T=   76.7 p1= -98.2 p2=  5473.2 ed=   121 5/22/2020   x1=  43. x2=  49. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/11/2020        49   20415      373       5      377     1   121 5/22/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .923226 cc2=  .634551 lx= 11.92403 if=  39 il=  50 3/12/2020  n=  11 now=   20415 end=     150847         5       377 U=    75.86 T=  227.0 p1= 638.9 p2=    13.5 ed=   406 3/3/2021    x1=  39. x2=  50. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/12/2020        50   20415    -           5      377     2   406 3/3/2021  
AAA2     1 Dominican_Republic Confirmed cc1=  .926085 cc2=  .624574 lx= 11.92403 if=  40 il=  50 3/12/2020  n=  10 now=   20415 end=     150847         5       377 U=    68.97 T=  210.9 p1= 638.9 p2=    13.5 ed=   373 1/29/2021   x1=  40. x2=  50. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/12/2020        50   20415    -           5      377     2   373 1/29/2021 
AAA2     1 Dominican_Republic Confirmed cc1=  .921128 cc2=  .604900 lx= 11.92403 if=  41 il=  50 3/12/2020  n=   9 now=   20415 end=     150847         5       377 U=    62.07 T=  194.8 p1= 638.9 p2=    13.5 ed=   341 12/28/2020  x1=  41. x2=  50. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/12/2020        50   20415    -           5      377     2   341 12/28/2020
AAA1     1 Dominican_Republic Confirmed cc1=  .903371 cc2=  .570037 lx=  5.92403 if=  42 il=  50 3/12/2020  n=   8 now=   20415 end=        373         5       377 U=    25.24 T=   86.9 p1= -98.2 p2=  5473.2 ed=   146 6/16/2020   x1=  42. x2=  50. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .903388 cc2=  .570037 lx=  5.82403 if=  42 il=  50 3/12/2020  n=   8 now=   20415 end=        373         5       377 U=    25.24 T=   86.9 p1= -98.2 p2=  5473.2 ed=   146 6/16/2020   x1=  42. x2=  50. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/12/2020        50   20415      373       5      377     2   146 6/16/2020 
AAA1     1 Dominican_Republic Confirmed cc1=  .862750 cc2=  .509196 lx=  5.92403 if=  43 il=  50 3/12/2020  n=   7 now=   20415 end=        373         5       377 U=    22.08 T=   82.3 p1= -98.2 p2=  5473.2 ed=   134 6/4/2020    x1=  43. x2=  50. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .862806 cc2=  .509196 lx=  5.82403 if=  43 il=  50 3/12/2020  n=   7 now=   20415 end=        373         5       377 U=    22.08 T=   82.3 p1= -98.2 p2=  5473.2 ed=   134 6/4/2020    x1=  43. x2=  50. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/12/2020        50   20415      373       5      377     2   134 6/4/2020  
AAA2     1 Dominican_Republic Confirmed cc1=  .919057 cc2=  .641707 lx= 11.92403 if=  39 il=  51 3/13/2020  n=  12 now=   20415 end=     150847         5       377 U=    82.76 T=  244.1 p1= 638.9 p2=    13.5 ed=   439 4/5/2021    x1=  39. x2=  51. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/13/2020        51   20415    -           5      377     2   439 4/5/2021  
AAA2     1 Dominican_Republic Confirmed cc1=  .915984 cc2=  .627309 lx= 11.92403 if=  40 il=  51 3/13/2020  n=  11 now=   20415 end=     150847         5       377 U=    75.86 T=  228.0 p1= 638.9 p2=    13.5 ed=   407 3/4/2021    x1=  40. x2=  51. y1=  2.48 y2=  2.33     
GP: Confirmed Dominican_Republic 3/13/2020        51   20415    -           5      377     2   407 3/4/2021  
AAA1     1 Dominican_Republic Confirmed cc1=  .904514 cc2=  .603002 lx=  5.92403 if=  41 il=  51 3/13/2020  n=  10 now=   20415 end=        373         5       377 U=    31.54 T=   97.1 p1= -98.2 p2=  5473.2 ed=   171 7/11/2020   x1=  41. x2=  51. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .904517 cc2=  .603002 lx=  5.82403 if=  41 il=  51 3/13/2020  n=  10 now=   20415 end=        373         5       377 U=    31.54 T=   97.1 p1= -98.2 p2=  5473.2 ed=   171 7/11/2020   x1=  41. x2=  51. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/13/2020        51   20415      373       5      377     2   171 7/11/2020 
AAA1     1 Dominican_Republic Confirmed cc1=  .879548 cc2=  .563320 lx=  5.92403 if=  42 il=  51 3/13/2020  n=   9 now=   20415 end=        373         5       377 U=    28.39 T=   92.5 p1= -98.2 p2=  5473.2 ed=   159 6/29/2020   x1=  42. x2=  51. y1=  1.78 y2=  1.46 BEST
AAA2     1 Dominican_Republic Confirmed cc1=  .879580 cc2=  .563320 lx=  5.82403 if=  42 il=  51 3/13/2020  n=   9 now=   20415 end=        373         5       377 U=    28.39 T=   92.5 p1= -98.2 p2=  5473.2 ed=   159 6/29/2020   x1=  42. x2=  51. y1=  1.78 y2=  1.46 BEST
GP: Confirmed Dominican_Republic 3/13/2020        51   20415      373       5      377     2   159 6/29/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .935142 cc2=  .667880 lx= 11.92403 if=  39 il=  52 3/14/2020  n=  13 now=   20415 end=     150847        11       377 U=    57.90 T=  182.5 p1= 638.9 p2=    13.5 ed=   319 12/6/2020   x1=  39. x2=  52. y1=  2.48 y2=  2.25     
GP: Confirmed Dominican_Republic 3/14/2020        52   20415    -          11      377     1   319 12/6/2020 
AAA2     1 Dominican_Republic Confirmed cc1=  .934388 cc2=  .657038 lx= 11.92403 if=  40 il=  52 3/14/2020  n=  12 now=   20415 end=     150847        11       377 U=    53.45 T=  172.5 p1= 638.9 p2=    13.5 ed=   298 11/15/2020  x1=  40. x2=  52. y1=  2.48 y2=  2.25     
GP: Confirmed Dominican_Republic 3/14/2020        52   20415    -          11      377     1   298 11/15/2020
