TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       21459.00000        9.97390
TAB:  Afghanistan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Afghanistan Confirmed cc1=  .908762 cc2=  .607195 lx=  5.87390 if=  40 il=  50 3/12/2020  n=  10 now=   21459 end=        393         7       396 U=    25.37 T=   85.4 p1= -98.2 p2=  5460.3 ed=   145 6/15/2020   x1=  40. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   145 6/15/2020 
AAA1     1 Afghanistan Confirmed cc1=  .924445 cc2=  .608217 lx=  5.97390 if=  41 il=  50 3/12/2020  n=   9 now=   21459 end=        393         7       396 U=    22.84 T=   81.8 p1= -98.2 p2=  5460.3 ed=   135 6/5/2020    x1=  41. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .924528 cc2=  .608217 lx=  5.87390 if=  41 il=  50 3/12/2020  n=   9 now=   21459 end=        393         7       396 U=    22.84 T=   81.8 p1= -98.2 p2=  5460.3 ed=   135 6/5/2020    x1=  41. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   135 6/5/2020  
AAA1     1 Afghanistan Confirmed cc1=  .936374 cc2=  .603040 lx=  5.97390 if=  42 il=  50 3/12/2020  n=   8 now=   21459 end=        393         7       396 U=    20.30 T=   78.3 p1= -98.2 p2=  5460.3 ed=   126 5/27/2020   x1=  42. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .936498 cc2=  .603040 lx=  5.87390 if=  42 il=  50 3/12/2020  n=   8 now=   21459 end=        393         7       396 U=    20.30 T=   78.3 p1= -98.2 p2=  5460.3 ed=   126 5/27/2020   x1=  42. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   126 5/27/2020 
AAA1     1 Afghanistan Confirmed cc1=  .940507 cc2=  .586954 lx=  5.97390 if=  43 il=  50 3/12/2020  n=   7 now=   21459 end=        393         7       396 U=    17.76 T=   74.7 p1= -98.2 p2=  5460.3 ed=   116 5/17/2020   x1=  43. x2=  50. y1=  1.79 y2=  1.39 BEST
AAA2     1 Afghanistan Confirmed cc1=  .940694 cc2=  .586954 lx=  5.87390 if=  43 il=  50 3/12/2020  n=   7 now=   21459 end=        393         7       396 U=    17.76 T=   74.7 p1= -98.2 p2=  5460.3 ed=   116 5/17/2020   x1=  43. x2=  50. y1=  1.79 y2=  1.39 BEST
GP: Confirmed Afghanistan 3/12/2020        50   21459      393       7      396     9   116 5/17/2020 
