TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6849.00000        8.83186
TAB:  US_New_Jersey_Camden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_New_Jersey_Camden 3/19/2020        57    6849    -          13        0     0   172 7/12/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .951418 cc2=  .573453 lx= 10.83186 if=  51 il=  57 3/19/2020  n=   6 now=    6849 end=      50607        13         0 U=    22.20 T=  103.9 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  51. x2=  57. y1=  2.38 y2=  2.11     
GP: Confirmed US_New_Jersey_Camden 3/19/2020        57    6849    -          13        0     0   156 6/26/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .928576 cc2=  .520328 lx= 10.83186 if=  52 il=  57 3/19/2020  n=   5 now=    6849 end=      50607        13         0 U=    24.50 T=  108.7 p1= 638.9 p2=    13.5 ed=   166 7/6/2020    x1=  52. x2=  57. y1=  2.32 y2=  2.11     
GP: Confirmed US_New_Jersey_Camden 3/19/2020        57    6849    -          13        0     0   166 7/6/2020  
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .941688 cc2=  .640176 lx= 10.83186 if=  48 il=  58 3/20/2020  n=  10 now=    6849 end=      50607        11         0 U=    39.96 T=  143.2 p1= 638.9 p2=    13.5 ed=   237 9/15/2020   x1=  48. x2=  58. y1=  2.38 y2=  2.13     
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   237 9/15/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .954026 cc2=  .637799 lx= 10.83186 if=  49 il=  58 3/20/2020  n=   9 now=    6849 end=      50607        11         0 U=    35.97 T=  134.7 p1= 638.9 p2=    13.5 ed=   219 8/28/2020   x1=  49. x2=  58. y1=  2.38 y2=  2.13     
GP: Confirmed US_New_Jersey_Camden 3/20/2020        58    6849    -          11        0     0   219 8/28/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .960977 cc2=  .627644 lx= 10.83186 if=  50 il=  58 3/20/2020  n=   8 now=    6849 end=      50607        11         0 U=    31.97 T=  126.2 p1= 638.9 p2=    13.5 ed=   201 8/10/2020   x1=  50. x2=  58. y1=  2.38 y2=  2.13     
