TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Minnesota_Ramsey Confirmed 5/26/2020   125     2551     3626    -            4     5291    26323    18821
TAB:  US_Minnesota_Ramsey Confirmed .           126     2610     3626     6898        2     2880    24715    15204
TAB:  US_Minnesota_Ramsey Confirmed 5/28/2020   127     2698     3626     3014        2     3014    21902    11989
TAB:  US_Minnesota_Ramsey Confirmed .           128     2790     3626     3282        2     3148    22170    10649
TAB:  US_Minnesota_Ramsey Confirmed 5/30/2020   129     2863     3626     4621        3     3282    21902     8372
TAB:  US_Minnesota_Ramsey Confirmed .           130     3019     3626     4085        2     4085    23242     8238
TAB:  US_Minnesota_Ramsey Confirmed 6/1/2020    131     3075     3626     4219        2     4219    23509     7702
TAB:  US_Minnesota_Ramsey Confirmed .           132     3128     3626     4621        3     3549    23777     7166
TAB:  US_Minnesota_Ramsey Confirmed 6/3/2020    133     3189     3626     4487        5     3282    23509     6497
TAB:  US_Minnesota_Ramsey Confirmed .           134     3252     3626     3951        5     3549    23509     6095
TAB:  US_Minnesota_Ramsey Confirmed 6/5/2020    135     3351     3626     4085        5     4085    23777     6363
TAB:  US_Minnesota_Ramsey Confirmed .           136     3445     3626     4487        5     4353    24045     6363
TAB:  US_Minnesota_Ramsey Confirmed 6/7/2020    137     3507     3626     4487        6     4487    23777     6363
TAB:  US_Minnesota_Ramsey Confirmed .           138     3553     3626     4487        6     3817    23777     6229
TAB:  US_Minnesota_Ramsey Confirmed 6/9/2020    139     3626     3626     4621        8     4085    23509     6229
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .865474 cc2=  .511921 lx= 10.19589 if=  44 il=  51 3/13/2020  n=   7 now=    3626 end=      26792         3         0 U=    61.40 T=  186.6 p1= 638.9 p2=    13.5 ed=   331 12/18/2020  x1=  44. x2=  51. y1=  2.32 y2=  2.21     
GP: Confirmed US_Minnesota_Ramsey 3/13/2020        51    3626    -           3        0     0   331 12/18/2020
