TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        8191.00000        9.01079
TAB:  Azerbaijan Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Azerbaijan Confirmed cc1=  .951023 cc2=  .542631 lx=  4.91079 if=  41 il=  46 3/8/2020   n=   5 now=    8191 end=        150         9       150 U=    15.17 T=   61.7 p1= -98.2 p2=  5460.7 ed=    97 4/28/2020   x1=  41. x2=  46. y1=  1.36 y2=  1.03 BEST
GP: Confirmed Azerbaijan 3/8/2020         46    8191      150       9      150     2    97 4/28/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .934543 cc2=  .601209 lx=  5.01079 if=  39 il=  47 3/9/2020   n=   8 now=    8191 end=        150         9         0 U=    24.27 T=   72.1 p1= -98.2 p2=  5460.7 ed=   129 5/30/2020   x1=  39. x2=  47. y1=  1.36 y2=  1.03     
GP: Confirmed Azerbaijan 3/9/2020         47    8191      150       9        0     0   129 5/30/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .940972 cc2=  .587419 lx=  5.01079 if=  40 il=  47 3/9/2020   n=   7 now=    8191 end=        150         9         0 U=    21.24 T=   69.0 p1= -98.2 p2=  5460.7 ed=   119 5/20/2020   x1=  40. x2=  47. y1=  1.36 y2=  1.03     
GP: Confirmed Azerbaijan 3/9/2020         47    8191      150       9        0     0   119 5/20/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .933000 cc2=  .555035 lx=  5.01079 if=  41 il=  47 3/9/2020   n=   6 now=    8191 end=        150         9         0 U=    18.20 T=   65.8 p1= -98.2 p2=  5460.7 ed=   108 5/9/2020    x1=  41. x2=  47. y1=  1.36 y2=  1.03     
GP: Confirmed Azerbaijan 3/9/2020         47    8191      150       9        0     0   108 5/9/2020  
AAA2     1 Azerbaijan Confirmed cc1=  .949646 cc2=  .633418 lx=  5.01079 if=  39 il=  48 3/10/2020  n=   9 now=    8191 end=        150        11         0 U=    22.30 T=   69.4 p1= -98.2 p2=  5460.7 ed=   122 5/23/2020   x1=  39. x2=  48. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/10/2020        48    8191      150      11        0     0   122 5/23/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .952793 cc2=  .619459 lx=  5.01079 if=  40 il=  48 3/10/2020  n=   8 now=    8191 end=        150        11         0 U=    19.82 T=   67.0 p1= -98.2 p2=  5460.7 ed=   113 5/14/2020   x1=  40. x2=  48. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/10/2020        48    8191      150      11        0     0   113 5/14/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .944089 cc2=  .590536 lx=  5.01079 if=  41 il=  48 3/10/2020  n=   7 now=    8191 end=        150        11         0 U=    17.34 T=   64.7 p1= -98.2 p2=  5460.7 ed=   105 5/6/2020    x1=  41. x2=  48. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/10/2020        48    8191      150      11        0     0   105 5/6/2020  
AAA2     1 Azerbaijan Confirmed cc1=  .915845 cc2=  .537880 lx=  5.01079 if=  42 il=  48 3/10/2020  n=   6 now=    8191 end=        150        11         0 U=    14.86 T=   62.3 p1= -98.2 p2=  5460.7 ed=    97 4/28/2020   x1=  42. x2=  48. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/10/2020        48    8191      150      11        0     0    97 4/28/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .919603 cc2=  .511355 lx=  5.01079 if=  43 il=  48 3/10/2020  n=   5 now=    8191 end=        150        11         0 U=    23.97 T=   71.0 p1= -98.2 p2=  5460.7 ed=   127 5/28/2020   x1=  43. x2=  48. y1=  1.17 y2=   .96     
GP: Confirmed Azerbaijan 3/10/2020        48    8191      150      11        0     0   127 5/28/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .953291 cc2=  .651779 lx=  5.01079 if=  39 il=  49 3/11/2020  n=  10 now=    8191 end=        150        11         0 U=    24.77 T=   72.8 p1= -98.2 p2=  5460.7 ed=   131 6/1/2020    x1=  39. x2=  49. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/11/2020        49    8191      150      11        0     0   131 6/1/2020  
AAA2     1 Azerbaijan Confirmed cc1=  .951890 cc2=  .635662 lx=  5.01079 if=  40 il=  49 3/11/2020  n=   9 now=    8191 end=        150        11         0 U=    22.30 T=   70.4 p1= -98.2 p2=  5460.7 ed=   123 5/24/2020   x1=  40. x2=  49. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/11/2020        49    8191      150      11        0     0   123 5/24/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .939702 cc2=  .606369 lx=  5.01079 if=  41 il=  49 3/11/2020  n=   8 now=    8191 end=        150        11         0 U=    19.82 T=   68.0 p1= -98.2 p2=  5460.7 ed=   114 5/15/2020   x1=  41. x2=  49. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/11/2020        49    8191      150      11        0     0   114 5/15/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .912646 cc2=  .559093 lx=  5.01079 if=  42 il=  49 3/11/2020  n=   7 now=    8191 end=        150        11         0 U=    17.34 T=   65.7 p1= -98.2 p2=  5460.7 ed=   106 5/7/2020    x1=  42. x2=  49. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/11/2020        49    8191      150      11        0     0   106 5/7/2020  
AAA2     1 Azerbaijan Confirmed cc1=  .928258 cc2=  .550294 lx=  5.01079 if=  43 il=  49 3/11/2020  n=   6 now=    8191 end=        150        11         0 U=    28.76 T=   76.6 p1= -98.2 p2=  5460.7 ed=   144 6/14/2020   x1=  43. x2=  49. y1=  1.17 y2=   .96     
GP: Confirmed Azerbaijan 3/11/2020        49    8191      150      11        0     0   144 6/14/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .949704 cc2=  .661029 lx=  5.01079 if=  39 il=  50 3/12/2020  n=  11 now=    8191 end=        150        11         0 U=    27.25 T=   76.2 p1= -98.2 p2=  5460.7 ed=   140 6/10/2020   x1=  39. x2=  50. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/12/2020        50    8191      150      11        0     0   140 6/10/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .943758 cc2=  .642247 lx=  5.01079 if=  40 il=  50 3/12/2020  n=  10 now=    8191 end=        150        11         0 U=    24.77 T=   73.8 p1= -98.2 p2=  5460.7 ed=   132 6/2/2020    x1=  40. x2=  50. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/12/2020        50    8191      150      11        0     0   132 6/2/2020  
AAA2     1 Azerbaijan Confirmed cc1=  .927607 cc2=  .611379 lx=  5.01079 if=  41 il=  50 3/12/2020  n=   9 now=    8191 end=        150        11         0 U=    22.30 T=   71.4 p1= -98.2 p2=  5460.7 ed=   124 5/25/2020   x1=  41. x2=  50. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/12/2020        50    8191      150      11        0     0   124 5/25/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .899314 cc2=  .565981 lx=  5.01079 if=  42 il=  50 3/12/2020  n=   8 now=    8191 end=        150        11         0 U=    19.82 T=   69.0 p1= -98.2 p2=  5460.7 ed=   115 5/16/2020   x1=  42. x2=  50. y1=  1.36 y2=   .96     
GP: Confirmed Azerbaijan 3/12/2020        50    8191      150      11        0     0   115 5/16/2020 
AAA2     1 Azerbaijan Confirmed cc1=  .918621 cc2=  .565068 lx=  5.01079 if=  43 il=  50 3/12/2020  n=   7 now=    8191 end=        150        11         0 U=    33.55 T=   82.2 p1= -98.2 p2=  5460.7 ed=   161 7/1/2020    x1=  43. x2=  50. y1=  1.17 y2=   .96     
GP: Confirmed Azerbaijan 3/12/2020        50    8191      150      11        0     0   161 7/1/2020  
