TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      739503.00000       13.51373
TAB:  Brazil Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Brazil Confirmed cc1=  .943013 cc2=  .534765 lx= 15.51373 if=  40 il=  45 3/7/2020   n=   5 now=  739503 end=    5464228        13         0 U=    37.03 T=  139.8 p1= 638.9 p2=    13.5 ed=   227 9/5/2020    x1=  40. x2=  45. y1=  2.70 y2=  2.56     
GP: Confirmed Brazil 3/7/2020         45  739503    -          13        0     0   227 9/5/2020  
AAA2     1 Brazil Confirmed cc1=  .941269 cc2=  .652594 lx= 15.51373 if=  35 il=  46 3/8/2020   n=  11 now=  739503 end=    5464228        20     13660 U=    51.27 T=  175.6 p1= 638.9 p2=    13.5 ed=   296 11/13/2020  x1=  35. x2=  46. y1=  2.74 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   296 11/13/2020
AAA2     1 Brazil Confirmed cc1=  .945663 cc2=  .644152 lx= 15.51373 if=  36 il=  46 3/8/2020   n=  10 now=  739503 end=    5464228        20     13660 U=    46.61 T=  163.8 p1= 638.9 p2=    13.5 ed=   273 10/21/2020  x1=  36. x2=  46. y1=  2.74 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   273 10/21/2020
AAA2     1 Brazil Confirmed cc1=  .942998 cc2=  .626771 lx= 15.51373 if=  37 il=  46 3/8/2020   n=   9 now=  739503 end=    5464228        20     13660 U=    41.95 T=  152.0 p1= 638.9 p2=    13.5 ed=   251 9/29/2020   x1=  37. x2=  46. y1=  2.74 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   251 9/29/2020 
AAA2     1 Brazil Confirmed cc1=  .928633 cc2=  .595300 lx= 15.51373 if=  38 il=  46 3/8/2020   n=   8 now=  739503 end=    5464228        20     13660 U=    47.38 T=  165.7 p1= 638.9 p2=    13.5 ed=   277 10/25/2020  x1=  38. x2=  46. y1=  2.70 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   277 10/25/2020
AAA2     1 Brazil Confirmed cc1=  .948968 cc2=  .595414 lx= 15.51373 if=  39 il=  46 3/8/2020   n=   7 now=  739503 end=    5464228        20     13660 U=    41.46 T=  150.8 p1= 638.9 p2=    13.5 ed=   248 9/26/2020   x1=  39. x2=  46. y1=  2.70 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   248 9/26/2020 
AAA2     1 Brazil Confirmed cc1=  .963190 cc2=  .585226 lx= 15.51373 if=  40 il=  46 3/8/2020   n=   6 now=  739503 end=    5464228        20     13660 U=    35.53 T=  135.8 p1= 638.9 p2=    13.5 ed=   219 8/28/2020   x1=  40. x2=  46. y1=  2.70 y2=  2.53     
GP: Confirmed Brazil 3/8/2020         46  739503    -          20    13660     1   219 8/28/2020 
AAA1     1 Brazil Confirmed cc1=  .963602 cc2=  .555354 lx=  9.51373 if=  41 il=  46 3/8/2020   n=   5 now=  739503 end=      13544        20     13660 U=    16.53 T=   77.0 p1= -98.2 p2=  5460.0 ed=   115 5/16/2020   x1=  41. x2=  46. y1=  2.18 y2=  1.87 BEST
AAA2     1 Brazil Confirmed cc1=  .963616 cc2=  .555354 lx=  9.41373 if=  41 il=  46 3/8/2020   n=   5 now=  739503 end=      13544        20     13660 U=    16.53 T=   77.0 p1= -98.2 p2=  5460.0 ed=   115 5/16/2020   x1=  41. x2=  46. y1=  2.18 y2=  1.87 BEST
GP: Confirmed Brazil 3/8/2020         46  739503    13544      20    13660     1   115 5/16/2020 
AAA2     1 Brazil Confirmed cc1=  .953824 cc2=  .676474 lx= 15.51373 if=  35 il=  47 3/9/2020   n=  12 now=  739503 end=    5464228        25     13660 U=    51.60 T=  176.5 p1= 638.9 p2=    13.5 ed=   298 11/15/2020  x1=  35. x2=  47. y1=  2.74 y2=  2.51     
GP: Confirmed Brazil 3/9/2020         47  739503    -          25    13660     3   298 11/15/2020
AAA2     1 Brazil Confirmed cc1=  .958421 cc2=  .669746 lx= 15.51373 if=  36 il=  47 3/9/2020   n=  11 now=  739503 end=    5464228        25     13660 U=    47.30 T=  165.7 p1= 638.9 p2=    13.5 ed=   277 10/25/2020  x1=  36. x2=  47. y1=  2.74 y2=  2.51     
GP: Confirmed Brazil 3/9/2020         47  739503    -          25    13660     3   277 10/25/2020
AAA2     1 Brazil Confirmed cc1=  .957540 cc2=  .656029 lx= 15.51373 if=  37 il=  47 3/9/2020   n=  10 now=  739503 end=    5464228        25     13660 U=    43.00 T=  154.9 p1= 638.9 p2=    13.5 ed=   256 10/4/2020   x1=  37. x2=  47. y1=  2.74 y2=  2.51     
GP: Confirmed Brazil 3/9/2020         47  739503    -          25    13660     3   256 10/4/2020 
AAA2     1 Brazil Confirmed cc1=  .948292 cc2=  .632065 lx= 15.51373 if=  38 il=  47 3/9/2020   n=   9 now=  739503 end=    5464228        25     13660 U=    48.17 T=  167.9 p1= 638.9 p2=    13.5 ed=   281 10/29/2020  x1=  38. x2=  47. y1=  2.70 y2=  2.51     
GP: Confirmed Brazil 3/9/2020         47  739503    -          25    13660     3   281 10/29/2020
AAA2     1 Brazil Confirmed cc1=  .963238 cc2=  .629905 lx= 15.51373 if=  39 il=  47 3/9/2020   n=   8 now=  739503 end=    5464228        25     13660 U=    42.82 T=  154.4 p1= 638.9 p2=    13.5 ed=   255 10/3/2020   x1=  39. x2=  47. y1=  2.70 y2=  2.51     
GP: Confirmed Brazil 3/9/2020         47  739503    -          25    13660     3   255 10/3/2020 
AAA1     1 Brazil Confirmed cc1=  .972421 cc2=  .618867 lx=  9.51373 if=  40 il=  47 3/9/2020   n=   7 now=  739503 end=      13544        25     13660 U=    20.75 T=   85.2 p1= -98.2 p2=  5460.0 ed=   134 6/4/2020    x1=  40. x2=  47. y1=  2.18 y2=  1.84 BEST
AAA2     1 Brazil Confirmed cc1=  .972430 cc2=  .618867 lx=  9.41373 if=  40 il=  47 3/9/2020   n=   7 now=  739503 end=      13544        25     13660 U=    20.75 T=   85.2 p1= -98.2 p2=  5460.0 ed=   134 6/4/2020    x1=  40. x2=  47. y1=  2.18 y2=  1.84 BEST
GP: Confirmed Brazil 3/9/2020         47  739503    13544      25    13660     3   134 6/4/2020  
AAA1     1 Brazil Confirmed cc1=  .970846 cc2=  .592882 lx=  9.51373 if=  41 il=  47 3/9/2020   n=   6 now=  739503 end=      13544        25     13660 U=    17.79 T=   79.7 p1= -98.2 p2=  5460.0 ed=   121 5/22/2020   x1=  41. x2=  47. y1=  2.18 y2=  1.84 BEST
