TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_Washington_Snohomish Confirmed 5/18/2020   117     2797     3064     2933       15     2880     3863     3119
TAB:  US_Washington_Snohomish Confirmed .           118     2818     3064     2999       21     2886     4018     3339
TAB:  US_Washington_Snohomish Confirmed 5/20/2020   119     2826     3064     2999       23     2886     4924     3339
TAB:  US_Washington_Snohomish Confirmed .           120     2846     3064     2999       21     2886     7075     3452
TAB:  US_Washington_Snohomish Confirmed 5/22/2020   121     2863     3064     3113       22     2999    19527     3792
TAB:  US_Washington_Snohomish Confirmed .           122     2863     3064     3256       13     2966     4021     3214
TAB:  US_Washington_Snohomish Confirmed 5/24/2020   123     2895     3064     3226       22     2999    11376     4018
TAB:  US_Washington_Snohomish Confirmed .           124     2904     3064     3226       26     2999    13414     4131
TAB:  US_Washington_Snohomish Confirmed 5/26/2020   125     2916     3064     3226       25     2999    20093     4811
TAB:  US_Washington_Snohomish Confirmed .           126     2927     3064     3019       13     2965     4888     3426
TAB:  US_Washington_Snohomish Confirmed 5/28/2020   127     2937     3064     3276       12     2966     4021     3276
TAB:  US_Washington_Snohomish Confirmed .           128     2945     3064     3259       14     2975     3675     3259
TAB:  US_Washington_Snohomish Confirmed 5/30/2020   129     2956     3064     3244       20     3010     3532     3226
TAB:  US_Washington_Snohomish Confirmed .           130     2967     3064     3226       37     2999     3792     3339
TAB:  US_Washington_Snohomish Confirmed 6/1/2020    131     2976     3064     3226       40     3113     3679     3339
TAB:  US_Washington_Snohomish Confirmed .           132     2987     3064     3226       41     3113     4245     3339
TAB:  US_Washington_Snohomish Confirmed 6/3/2020    133     2991     3064     3259       26     3025     3326     3192
TAB:  US_Washington_Snohomish Confirmed .           134     2999     3064     3260       22     3028     3294     3161
TAB:  US_Washington_Snohomish Confirmed 6/5/2020    135     3014     3064     3226       47     3113     4131     3679
