TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3243.00000        8.08425
TAB:  US_New_York_Monroe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_New_York_Monroe 3/21/2020        59    3243     1134      46       65     1   106 5/7/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .975033 cc2=  .673522 lx=  5.56425 if=  50 il=  60 3/22/2020  n=  10 now=    3243 end=        260        68       179 U=     7.77 T=   62.3 p1= -92.0 p2=  1247.3 ed=    80 4/11/2020   x1=  50. x2=  60. y1=  1.58 y2=   .30     
GP: Confirmed US_New_York_Monroe 3/22/2020        60    3243      260      68      179     1    80 4/11/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .988561 cc2=  .672334 lx=  5.29425 if=  51 il=  60 3/22/2020  n=   9 now=    3243 end=        199        68       179 U=     5.64 T=   60.4 p1= -93.9 p2=  1629.6 ed=    73 4/4/2020    x1=  51. x2=  60. y1=  1.67 y2=   .07 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .988562 cc2=  .672334 lx=  5.29925 if=  51 il=  60 3/22/2020  n=   9 now=    3243 end=        199        68       179 U=     5.64 T=   60.4 p1= -93.9 p2=  1629.6 ed=    73 4/4/2020    x1=  51. x2=  60. y1=  1.67 y2=   .07 BEST
GP: Confirmed US_New_York_Monroe 3/22/2020        60    3243      199      68      179     1    73 4/4/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .995258 cc2=  .617294 lx= 10.08425 if=  54 il=  60 3/22/2020  n=   6 now=    3243 end=      23962        68       179 U=    22.18 T=   99.2 p1= 638.9 p2=    13.5 ed=   151 6/21/2020   x1=  54. x2=  60. y1=  2.04 y2=  1.77     
GP: Confirmed US_New_York_Monroe 3/22/2020        60    3243    -          68      179     1   151 6/21/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .994183 cc2=  .585935 lx= 10.08425 if=  55 il=  60 3/22/2020  n=   5 now=    3243 end=      23962        68       179 U=    20.95 T=   97.1 p1= 638.9 p2=    13.5 ed=   146 6/16/2020   x1=  55. x2=  60. y1=  2.01 y2=  1.77     
GP: Confirmed US_New_York_Monroe 3/22/2020        60    3243    -          68      179     1   146 6/16/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .980776 cc2=  .692101 lx=  5.68425 if=  50 il=  61 3/23/2020  n=  11 now=    3243 end=        294        81       179 U=     8.13 T=   63.1 p1= -90.9 p2=  1103.1 ed=    82 4/13/2020   x1=  50. x2=  61. y1=  1.61 y2=   .25     
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243      294      81      179     2    82 4/13/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .991309 cc2=  .689798 lx=  5.41425 if=  51 il=  61 3/23/2020  n=  10 now=    3243 end=        224        81       179 U=     5.99 T=   61.1 p1= -93.1 p2=  1447.8 ed=    75 4/6/2020    x1=  51. x2=  61. y1=  1.69 y2=   .02 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .991309 cc2=  .689798 lx=  5.41825 if=  51 il=  61 3/23/2020  n=  10 now=    3243 end=        224        81       179 U=     5.99 T=   61.1 p1= -93.1 p2=  1447.8 ed=    75 4/6/2020    x1=  51. x2=  61. y1=  1.69 y2=   .02 BEST
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243      224      81      179     2    75 4/6/2020  
AAA1     1 US_New_York_Monroe Confirmed cc1=  .989398 cc2=  .673170 lx=  5.28425 if=  52 il=  61 3/23/2020  n=   9 now=    3243 end=        197        81       179 U=     5.48 T=   60.4 p1= -93.9 p2=  1646.2 ed=    73 4/4/2020    x1=  52. x2=  61. y1=  1.52 y2=  -.12 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .989398 cc2=  .673170 lx=  5.28325 if=  52 il=  61 3/23/2020  n=   9 now=    3243 end=        197        81       179 U=     5.48 T=   60.4 p1= -93.9 p2=  1646.2 ed=    73 4/4/2020    x1=  52. x2=  61. y1=  1.52 y2=  -.12 BEST
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243      197      81      179     2    73 4/4/2020  
AAA2     1 US_New_York_Monroe Confirmed cc1=  .996667 cc2=  .643113 lx= 10.08425 if=  54 il=  61 3/23/2020  n=   7 now=    3243 end=      23962        81       179 U=    23.27 T=  101.5 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  54. x2=  61. y1=  2.04 y2=  1.74     
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243    -          81      179     2   156 6/26/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .995952 cc2=  .617988 lx=  8.12425 if=  55 il=  61 3/23/2020  n=   6 now=    3243 end=       3375        81       179 U=    15.56 T=   81.5 p1=   4.1 p2=    96.1 ed=   118 5/19/2020   x1=  55. x2=  61. y1=  1.70 y2=  1.32     
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243     3375      81      179     2   118 5/19/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .993549 cc2=  .585301 lx=  7.67425 if=  56 il=  61 3/23/2020  n=   5 now=    3243 end=       2152        81       179 U=    13.66 T=   77.2 p1= -33.6 p2=   150.7 ed=   109 5/10/2020   x1=  56. x2=  61. y1=  1.55 y2=  1.19     
GP: Confirmed US_New_York_Monroe 3/23/2020        61    3243     2152      81      179     2   109 5/10/2020 
AAA2     1 US_New_York_Monroe Confirmed cc1=  .984454 cc2=  .707104 lx=  6.01425 if=  50 il=  62 3/24/2020  n=  12 now=    3243 end=        409       106       299 U=     8.75 T=   64.6 p1= -87.4 p2=   792.9 ed=    85 4/16/2020   x1=  50. x2=  62. y1=  1.67 y2=   .30     
GP: Confirmed US_New_York_Monroe 3/24/2020        62    3243      409     106      299     3    85 4/16/2020 
AAA1     1 US_New_York_Monroe Confirmed cc1=  .992533 cc2=  .703858 lx=  5.75425 if=  51 il=  62 3/24/2020  n=  11 now=    3243 end=        315       106       299 U=     6.61 T=   62.6 p1= -90.3 p2=  1029.5 ed=    78 4/9/2020    x1=  51. x2=  62. y1=  1.75 y2=   .09 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .992533 cc2=  .703858 lx=  5.75325 if=  51 il=  62 3/24/2020  n=  11 now=    3243 end=        315       106       299 U=     6.61 T=   62.6 p1= -90.3 p2=  1029.5 ed=    78 4/9/2020    x1=  51. x2=  62. y1=  1.75 y2=   .09 BEST
GP: Confirmed US_New_York_Monroe 3/24/2020        62    3243      315     106      299     3    78 4/9/2020  
AAA1     1 US_New_York_Monroe Confirmed cc1=  .990733 cc2=  .689222 lx=  5.65425 if=  52 il=  62 3/24/2020  n=  10 now=    3243 end=        285       106       299 U=     6.21 T=   61.9 p1= -91.2 p2=  1137.9 ed=    76 4/7/2020    x1=  52. x2=  62. y1=  1.60 y2=  -.01 BEST
AAA2     1 US_New_York_Monroe Confirmed cc1=  .990733 cc2=  .689222 lx=  5.65525 if=  52 il=  62 3/24/2020  n=  10 now=    3243 end=        285       106       299 U=     6.21 T=   61.9 p1= -91.2 p2=  1137.9 ed=    76 4/7/2020    x1=  52. x2=  62. y1=  1.60 y2=  -.01 BEST
GP: Confirmed US_New_York_Monroe 3/24/2020        62    3243      285     106      299     3    76 4/7/2020  
