TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6667.00000        8.80493
TAB:  US_Ohio_Franklin Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .991553 cc2=  .675325 lx= 10.80493 if=  52 il=  61 3/23/2020  n=   9 now=    6667 end=      49262        44         0 U=    20.88 T=  101.7 p1= 638.9 p2=    13.5 ed=   150 6/20/2020   x1=  52. x2=  61. y1=  2.38 y2=  1.95     
GP: Confirmed US_Ohio_Franklin 3/23/2020        61    6667    -          44        0     0   150 6/20/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .989848 cc2=  .656515 lx= 10.80493 if=  53 il=  61 3/23/2020  n=   8 now=    6667 end=      49262        44         0 U=    24.70 T=  109.1 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  53. x2=  61. y1=  2.27 y2=  1.95     
GP: Confirmed US_Ohio_Franklin 3/23/2020        61    6667    -          44        0     0   167 7/7/2020  
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .997852 cc2=  .644298 lx= 10.80493 if=  54 il=  61 3/23/2020  n=   7 now=    6667 end=      49262        44         0 U=    21.61 T=  103.1 p1= 638.9 p2=    13.5 ed=   154 6/24/2020   x1=  54. x2=  61. y1=  2.27 y2=  1.95     
GP: Confirmed US_Ohio_Franklin 3/23/2020        61    6667    -          44        0     0   154 6/24/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .997894 cc2=  .619930 lx= 10.80493 if=  55 il=  61 3/23/2020  n=   6 now=    6667 end=      49262        44         0 U=    20.42 T=  100.8 p1= 638.9 p2=    13.5 ed=   148 6/18/2020   x1=  55. x2=  61. y1=  2.24 y2=  1.95     
GP: Confirmed US_Ohio_Franklin 3/23/2020        61    6667    -          44        0     0   148 6/18/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996874 cc2=  .588626 lx= 10.80493 if=  56 il=  61 3/23/2020  n=   5 now=    6667 end=      49262        44         0 U=    21.50 T=  102.9 p1= 638.9 p2=    13.5 ed=   153 6/23/2020   x1=  56. x2=  61. y1=  2.18 y2=  1.95     
GP: Confirmed US_Ohio_Franklin 3/23/2020        61    6667    -          44        0     0   153 6/23/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .992122 cc2=  .690611 lx= 10.80493 if=  52 il=  62 3/24/2020  n=  10 now=    6667 end=      49262        75         0 U=    19.60 T=   98.7 p1= 638.9 p2=    13.5 ed=   144 6/14/2020   x1=  52. x2=  62. y1=  2.38 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   144 6/14/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .989865 cc2=  .673637 lx= 10.80493 if=  53 il=  62 3/24/2020  n=   9 now=    6667 end=      49262        75         0 U=    22.34 T=  103.8 p1= 638.9 p2=    13.5 ed=   156 6/26/2020   x1=  53. x2=  62. y1=  2.27 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   156 6/26/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996584 cc2=  .663251 lx= 10.80493 if=  54 il=  62 3/24/2020  n=   8 now=    6667 end=      49262        75         0 U=    19.86 T=   99.1 p1= 638.9 p2=    13.5 ed=   145 6/15/2020   x1=  54. x2=  62. y1=  2.27 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   145 6/15/2020 
AAA2     1 US_Ohio_Franklin Confirmed cc1=  .996719 cc2=  .643166 lx= 10.80493 if=  55 il=  62 3/24/2020  n=   7 now=    6667 end=      49262        75         0 U=    18.78 T=   97.1 p1= 638.9 p2=    13.5 ed=   141 6/11/2020   x1=  55. x2=  62. y1=  2.24 y2=  1.87     
GP: Confirmed US_Ohio_Franklin 3/24/2020        62    6667    -          75        0     0   141 6/11/2020 
