TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       15271.00000        9.63371
TAB:  US_Massachusetts_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .962325 cc2=  .554076 lx= 11.63371 if=  52 il=  57 3/19/2020  n=   5 now=   15271 end=     112838        19       282 U=    34.98 T=  132.6 p1= 638.9 p2=    13.5 ed=   215 8/24/2020   x1=  52. x2=  57. y1=  2.31 y2=  2.16     
GP: Confirmed US_Massachusetts_Essex 3/19/2020        57   15271    -          19      282     1   215 8/24/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .987230 cc2=  .671002 lx= 10.53371 if=  49 il=  58 3/20/2020  n=   9 now=   15271 end=      37560        29      8180 U=    23.37 T=  104.0 p1= 146.0 p2=    40.7 ed=   159 6/29/2020   x1=  49. x2=  58. y1=  2.35 y2=  1.97     
GP: Confirmed US_Massachusetts_Essex 3/20/2020        58   15271    37560      29     8180     1   159 6/29/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .982803 cc2=  .649470 lx= 11.63371 if=  50 il=  58 3/20/2020  n=   8 now=   15271 end=     112838        29      8180 U=    28.54 T=  118.3 p1= 638.9 p2=    13.5 ed=   185 7/25/2020   x1=  50. x2=  58. y1=  2.39 y2=  2.11     
GP: Confirmed US_Massachusetts_Essex 3/20/2020        58   15271    -          29     8180     1   185 7/25/2020 
AAA1     1 US_Massachusetts_Essex Confirmed cc1=  .978851 cc2=  .625297 lx=  8.99371 if=  51 il=  58 3/20/2020  n=   7 now=   15271 end=       8052        29      8180 U=    18.00 T=   89.1 p1= -47.3 p2=   189.7 ed=   131 6/1/2020    x1=  51. x2=  58. y1=  2.12 y2=  1.73 BEST
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .978851 cc2=  .625297 lx=  8.99571 if=  51 il=  58 3/20/2020  n=   7 now=   15271 end=       8052        29      8180 U=    18.00 T=   89.1 p1= -47.3 p2=   189.7 ed=   131 6/1/2020    x1=  51. x2=  58. y1=  2.12 y2=  1.73 BEST
GP: Confirmed US_Massachusetts_Essex 3/20/2020        58   15271     8052      29     8180     1   131 6/1/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .972580 cc2=  .594616 lx= 11.63371 if=  52 il=  58 3/20/2020  n=   6 now=   15271 end=     112838        29      8180 U=    31.12 T=  123.7 p1= 638.9 p2=    13.5 ed=   197 8/6/2020    x1=  52. x2=  58. y1=  2.31 y2=  2.11     
