TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      142759.00000       11.86891
TAB:  Chile Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 Chile Confirmed cc1=  .953101 cc2=  .599547 lx=  7.86891 if=  41 il=  48 3/10/2020  n=   7 now=  142759 end=       2614        13      2637 U=    17.75 T=   77.6 p1= -98.2 p2=  5461.3 ed=   119 5/20/2020   x1=  41. x2=  48. y1=  2.06 y2=  1.67 BEST
AAA2     1 Chile Confirmed cc1=  .953219 cc2=  .599547 lx=  7.76891 if=  41 il=  48 3/10/2020  n=   7 now=  142759 end=       2614        13      2637 U=    17.75 T=   77.6 p1= -98.2 p2=  5461.3 ed=   119 5/20/2020   x1=  41. x2=  48. y1=  2.06 y2=  1.67 BEST
GP: Confirmed Chile 3/10/2020        48  142759     2614      13     2637     2   119 5/20/2020 
AAA1     1 Chile Confirmed cc1=  .930454 cc2=  .552489 lx=  7.86891 if=  42 il=  48 3/10/2020  n=   6 now=  142759 end=       2614        13      2637 U=    15.21 T=   73.4 p1= -98.2 p2=  5461.3 ed=   109 5/10/2020   x1=  42. x2=  48. y1=  2.06 y2=  1.67 BEST
AAA2     1 Chile Confirmed cc1=  .930655 cc2=  .552489 lx=  7.76891 if=  42 il=  48 3/10/2020  n=   6 now=  142759 end=       2614        13      2637 U=    15.21 T=   73.4 p1= -98.2 p2=  5461.3 ed=   109 5/10/2020   x1=  42. x2=  48. y1=  2.06 y2=  1.67 BEST
GP: Confirmed Chile 3/10/2020        48  142759     2614      13     2637     2   109 5/10/2020 
AAA2     1 Chile Confirmed cc1=  .924490 cc2=  .516242 lx= 13.86891 if=  43 il=  48 3/10/2020  n=   5 now=  142759 end=    1054854        13      2637 U=    50.41 T=  170.3 p1= 638.9 p2=    13.5 ed=   289 11/6/2020   x1=  43. x2=  48. y1=  2.52 y2=  2.43     
GP: Confirmed Chile 3/10/2020        48  142759    -          13     2637     2   289 11/6/2020 
AAA1     1 Chile Confirmed cc1=  .965710 cc2=  .632377 lx=  7.86891 if=  41 il=  49 3/11/2020  n=   8 now=  142759 end=       2614        23      2637 U=    15.74 T=   73.5 p1= -98.2 p2=  5461.3 ed=   110 5/11/2020   x1=  41. x2=  49. y1=  2.06 y2=  1.55 BEST
AAA2     1 Chile Confirmed cc1=  .965718 cc2=  .632377 lx=  7.76891 if=  41 il=  49 3/11/2020  n=   8 now=  142759 end=       2614        23      2637 U=    15.74 T=   73.5 p1= -98.2 p2=  5461.3 ed=   110 5/11/2020   x1=  41. x2=  49. y1=  2.06 y2=  1.55 BEST
GP: Confirmed Chile 3/11/2020        49  142759     2614      23     2637     2   110 5/11/2020 
AAA1     1 Chile Confirmed cc1=  .952760 cc2=  .599206 lx=  7.86891 if=  42 il=  49 3/11/2020  n=   7 now=  142759 end=       2614        23      2637 U=    13.77 T=   70.4 p1= -98.2 p2=  5461.3 ed=   102 5/3/2020    x1=  42. x2=  49. y1=  2.06 y2=  1.55 BEST
AAA2     1 Chile Confirmed cc1=  .952818 cc2=  .599206 lx=  7.76891 if=  42 il=  49 3/11/2020  n=   7 now=  142759 end=       2614        23      2637 U=    13.77 T=   70.4 p1= -98.2 p2=  5461.3 ed=   102 5/3/2020    x1=  42. x2=  49. y1=  2.06 y2=  1.55 BEST
GP: Confirmed Chile 3/11/2020        49  142759     2614      23     2637     2   102 5/3/2020  
AAA2     1 Chile Confirmed cc1=  .942275 cc2=  .564311 lx= 13.86891 if=  43 il=  49 3/11/2020  n=   6 now=  142759 end=    1054854        23      2637 U=    39.74 T=  143.3 p1= 638.9 p2=    13.5 ed=   237 9/15/2020   x1=  43. x2=  49. y1=  2.52 y2=  2.37     
GP: Confirmed Chile 3/11/2020        49  142759    -          23     2637     2   237 9/15/2020 
AAA2     1 Chile Confirmed cc1=  .964048 cc2=  .555800 lx= 13.86891 if=  44 il=  49 3/11/2020  n=   5 now=  142759 end=    1054854        23      2637 U=    33.12 T=  127.6 p1= 638.9 p2=    13.5 ed=   205 8/14/2020   x1=  44. x2=  49. y1=  2.52 y2=  2.37     
GP: Confirmed Chile 3/11/2020        49  142759    -          23     2637     2   205 8/14/2020 
