TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       53185.00000       10.88153
TAB:  Canada_Quebec Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA1     1 Canada_Quebec Confirmed cc1=  .968755 cc2=  .590791 lx=  6.88153 if=  41 il=  47 3/9/2020   n=   6 now=   53185 end=        974         4       982 U=    26.67 T=   92.4 p1= -98.2 p2=  5460.5 ed=   155 6/25/2020   x1=  41. x2=  47. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .968802 cc2=  .590791 lx=  6.78153 if=  41 il=  47 3/9/2020   n=   6 now=   53185 end=        974         4       982 U=    26.67 T=   92.4 p1= -98.2 p2=  5460.5 ed=   155 6/25/2020   x1=  41. x2=  47. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/9/2020         47   53185      974       4      982     3   155 6/25/2020 
AAA1     1 Canada_Quebec Confirmed cc1=  .956351 cc2=  .548103 lx=  6.88153 if=  42 il=  47 3/9/2020   n=   5 now=   53185 end=        974         4       982 U=    22.23 T=   84.9 p1= -98.2 p2=  5460.5 ed=   137 6/7/2020    x1=  42. x2=  47. y1=  1.93 y2=  1.70 BEST
AAA2     1 Canada_Quebec Confirmed cc1=  .956452 cc2=  .548103 lx=  6.78153 if=  42 il=  47 3/9/2020   n=   5 now=   53185 end=        974         4       982 U=    22.23 T=   84.9 p1= -98.2 p2=  5460.5 ed=   137 6/7/2020    x1=  42. x2=  47. y1=  1.93 y2=  1.70 BEST
GP: Confirmed Canada_Quebec 3/9/2020         47   53185      974       4      982     3   137 6/7/2020  
AAA2     1 Canada_Quebec Confirmed cc1=  .926003 cc2=  .637328 lx= 12.88153 if=  37 il=  48 3/10/2020  n=  11 now=   53185 end=     392986         4       982 U=    96.61 T=  283.9 p1= 638.9 p2=    13.5 ed=   511 6/16/2021   x1=  37. x2=  48. y1=  2.56 y2=  2.44     
GP: Confirmed Canada_Quebec 3/10/2020        48   53185    -           4      982     5   511 6/16/2021 
AAA2     1 Canada_Quebec Confirmed cc1=  .940356 cc2=  .638845 lx= 10.66153 if=  38 il=  48 3/10/2020  n=  10 now=   53185 end=      42681         4       982 U=    71.79 T=  207.9 p1= -19.7 p2=   124.6 ed=   377 2/2/2021    x1=  38. x2=  48. y1=  2.37 y2=  2.23     
GP: Confirmed Canada_Quebec 3/10/2020        48   53185    42681       4      982     5   377 2/2/2021  
AAA1     1 Canada_Quebec Confirmed cc1=  .952013 cc2=  .635785 lx=  6.88153 if=  39 il=  48 3/10/2020  n=   9 now=   53185 end=        974         4       982 U=    40.01 T=  116.2 p1= -98.2 p2=  5460.5 ed=   210 8/19/2020   x1=  39. x2=  48. y1=  1.93 y2=  1.70 BEST
