TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        7672.00000        8.94533
TAB:  US_Pennsylvania_Montgomery Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Pennsylvania_Montgomery 3/16/2020        54    7672      306      30      228     1    95 4/26/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .982268 cc2=  .628715 lx=  5.41533 if=  47 il=  54 3/16/2020  n=   7 now=    7672 end=        224        30       228 U=    11.00 T=   61.7 p1= -97.1 p2=  3425.0 ed=    87 4/18/2020   x1=  47. x2=  54. y1=  1.34 y2=   .70 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .982268 cc2=  .628715 lx=  5.41433 if=  47 il=  54 3/16/2020  n=   7 now=    7672 end=        224        30       228 U=    11.00 T=   61.7 p1= -97.1 p2=  3425.0 ed=    87 4/18/2020   x1=  47. x2=  54. y1=  1.34 y2=   .70 BEST
GP: Confirmed US_Pennsylvania_Montgomery 3/16/2020        54    7672      224      30      228     1    87 4/18/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .974929 cc2=  .596965 lx=  7.92533 if=  48 il=  54 3/16/2020  n=   6 now=    7672 end=       2766        30       228 U=    23.41 T=   89.3 p1= -63.9 p2=   277.4 ed=   144 6/14/2020   x1=  48. x2=  54. y1=  1.77 y2=  1.51     
GP: Confirmed US_Pennsylvania_Montgomery 3/16/2020        54    7672     2766      30      228     1   144 6/14/2020 
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .961993 cc2=  .553744 lx=  5.70533 if=  49 il=  54 3/16/2020  n=   5 now=    7672 end=        300        30       228 U=    11.89 T=   63.9 p1= -96.1 p2=  2557.3 ed=    91 4/22/2020   x1=  49. x2=  54. y1=  1.26 y2=   .83     
GP: Confirmed US_Pennsylvania_Montgomery 3/16/2020        54    7672      300      30      228     1    91 4/22/2020 
AAA1     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990877 cc2=  .674649 lx=  5.50533 if=  46 il=  55 3/17/2020  n=   9 now=    7672 end=        246        34       141 U=    12.28 T=   63.4 p1= -96.8 p2=  3118.7 ed=    92 4/23/2020   x1=  46. x2=  55. y1=  1.42 y2=   .68 BEST
AAA2     1 US_Pennsylvania_Montgomery Confirmed cc1=  .990877 cc2=  .674649 lx=  5.50733 if=  46 il=  55 3/17/2020  n=   9 now=    7672 end=        246        34       141 U=    12.28 T=   63.4 p1= -96.8 p2=  3118.7 ed=    92 4/23/2020   x1=  46. x2=  55. y1=  1.42 y2=   .68 BEST
