TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       11255.00000        9.32857
TAB:  US_Michigan_Oakland Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Michigan_Oakland 3/20/2020        58   11255    -         184        0     0   112 5/13/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .976393 cc2=  .622840 lx= 11.32857 if=  51 il=  58 3/20/2020  n=   7 now=   11255 end=      83163       184         0 U=    13.60 T=   82.6 p1= 638.9 p2=    13.5 ed=   114 5/15/2020   x1=  51. x2=  58. y1=  2.33 y2=  1.81     
GP: Confirmed US_Michigan_Oakland 3/20/2020        58   11255    -         184        0     0   114 5/15/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .972136 cc2=  .594172 lx= 11.32857 if=  52 il=  58 3/20/2020  n=   6 now=   11255 end=      83163       184         0 U=    13.49 T=   82.4 p1= 638.9 p2=    13.5 ed=   114 5/15/2020   x1=  52. x2=  58. y1=  2.26 y2=  1.81     
GP: Confirmed US_Michigan_Oakland 3/20/2020        58   11255    -         184        0     0   114 5/15/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .975366 cc2=  .567118 lx= 11.32857 if=  53 il=  58 3/20/2020  n=   5 now=   11255 end=      83163       184         0 U=    12.46 T=   80.6 p1= 638.9 p2=    13.5 ed=   109 5/10/2020   x1=  53. x2=  58. y1=  2.21 y2=  1.81     
GP: Confirmed US_Michigan_Oakland 3/20/2020        58   11255    -         184        0     0   109 5/10/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .986779 cc2=  .685268 lx= 11.32857 if=  49 il=  59 3/21/2020  n=  10 now=   11255 end=      83163       230       623 U=    15.29 T=   86.1 p1= 638.9 p2=    13.5 ed=   122 5/23/2020   x1=  49. x2=  59. y1=  2.43 y2=  1.77     
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255    -         230      623     1   122 5/23/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .987784 cc2=  .671556 lx= 11.32857 if=  50 il=  59 3/21/2020  n=   9 now=   11255 end=      83163       230       623 U=    13.76 T=   83.4 p1= 638.9 p2=    13.5 ed=   115 5/16/2020   x1=  50. x2=  59. y1=  2.43 y2=  1.77     
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255    -         230      623     1   115 5/16/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .983268 cc2=  .649935 lx= 11.32857 if=  51 il=  59 3/21/2020  n=   8 now=   11255 end=      83163       230       623 U=    14.49 T=   84.7 p1= 638.9 p2=    13.5 ed=   118 5/19/2020   x1=  51. x2=  59. y1=  2.33 y2=  1.77     
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255    -         230      623     1   118 5/19/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .980456 cc2=  .626902 lx= 11.32857 if=  52 il=  59 3/21/2020  n=   7 now=   11255 end=      83163       230       623 U=    14.53 T=   84.8 p1= 638.9 p2=    13.5 ed=   119 5/20/2020   x1=  52. x2=  59. y1=  2.26 y2=  1.77     
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255    -         230      623     1   119 5/20/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .981490 cc2=  .603526 lx=  9.01857 if=  53 il=  59 3/21/2020  n=   6 now=   11255 end=       8254       230       623 U=     9.31 T=   70.9 p1= -26.7 p2=   136.4 ed=    92 4/23/2020   x1=  53. x2=  59. y1=  1.92 y2=  1.28     
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255     8254     230      623     1    92 4/23/2020 
AAA1     1 US_Michigan_Oakland Confirmed cc1=  .987144 cc2=  .578895 lx=  6.33857 if=  54 il=  59 3/21/2020  n=   5 now=   11255 end=        565       230       623 U=     3.54 T=   58.6 p1= -95.0 p2=  1992.0 ed=    66 3/28/2020   x1=  54. x2=  59. y1=  1.31 y2=  -.10 BEST
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .987144 cc2=  .578895 lx=  6.34357 if=  54 il=  59 3/21/2020  n=   5 now=   11255 end=        565       230       623 U=     3.54 T=   58.6 p1= -95.0 p2=  1992.0 ed=    66 3/28/2020   x1=  54. x2=  59. y1=  1.31 y2=  -.10 BEST
GP: Confirmed US_Michigan_Oakland 3/21/2020        59   11255      565     230      623     1    66 3/28/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .989041 cc2=  .700366 lx= 11.32857 if=  49 il=  60 3/22/2020  n=  11 now=   11255 end=      83163       277       623 U=    16.03 T=   87.9 p1= 638.9 p2=    13.5 ed=   125 5/26/2020   x1=  49. x2=  60. y1=  2.43 y2=  1.74     
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255    -         277      623     2   125 5/26/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .989273 cc2=  .687761 lx= 11.32857 if=  50 il=  60 3/22/2020  n=  10 now=   11255 end=      83163       277       623 U=    14.58 T=   85.4 p1= 638.9 p2=    13.5 ed=   119 5/20/2020   x1=  50. x2=  60. y1=  2.43 y2=  1.74     
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255    -         277      623     2   119 5/20/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .985671 cc2=  .669444 lx= 11.32857 if=  51 il=  60 3/22/2020  n=   9 now=   11255 end=      83163       277       623 U=    15.41 T=   86.8 p1= 638.9 p2=    13.5 ed=   123 5/24/2020   x1=  51. x2=  60. y1=  2.33 y2=  1.74     
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255    -         277      623     2   123 5/24/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .982522 cc2=  .649189 lx=  9.58857 if=  52 il=  60 3/22/2020  n=   8 now=   11255 end=      14596       277       623 U=    11.83 T=   76.3 p1=  29.7 p2=    77.1 ed=   104 5/5/2020    x1=  52. x2=  60. y1=  2.05 y2=  1.38     
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255    14596     277      623     2   104 5/5/2020  
AAA1     1 US_Michigan_Oakland Confirmed cc1=  .985314 cc2=  .631760 lx=  6.57857 if=  53 il=  60 3/22/2020  n=   7 now=   11255 end=        719       277       623 U=     4.59 T=   59.8 p1= -93.6 p2=  1565.4 ed=    70 4/1/2020    x1=  53. x2=  60. y1=  1.48 y2=  -.05 BEST
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .985314 cc2=  .631760 lx=  6.58257 if=  53 il=  60 3/22/2020  n=   7 now=   11255 end=        719       277       623 U=     4.59 T=   59.8 p1= -93.6 p2=  1565.4 ed=    70 4/1/2020    x1=  53. x2=  60. y1=  1.48 y2=  -.05 BEST
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255      719     277      623     2    70 4/1/2020  
AAA1     1 US_Michigan_Oakland Confirmed cc1=  .991539 cc2=  .613575 lx=  6.07857 if=  54 il=  60 3/22/2020  n=   6 now=   11255 end=        436       277       623 U=     2.96 T=   57.7 p1= -96.1 p2=  2581.4 ed=    64 3/26/2020   x1=  54. x2=  60. y1=  1.24 y2=  -.79 BEST
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .991540 cc2=  .613575 lx=  6.07457 if=  54 il=  60 3/22/2020  n=   6 now=   11255 end=        436       277       623 U=     2.96 T=   57.7 p1= -96.1 p2=  2581.4 ed=    64 3/26/2020   x1=  54. x2=  60. y1=  1.24 y2=  -.79 BEST
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255      436     277      623     2    64 3/26/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .998806 cc2=  .590558 lx=  5.88857 if=  55 il=  60 3/22/2020  n=   5 now=   11255 end=        360       277       623 U=     2.03 T=   57.3 p1= -96.8 p2=  3126.4 ed=    62 3/24/2020   x1=  55. x2=  60. y1=  1.14 y2= -1.33     
GP: Confirmed US_Michigan_Oakland 3/22/2020        60   11255      360     277      623     2    62 3/24/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .989398 cc2=  .712048 lx= 11.32857 if=  49 il=  61 3/23/2020  n=  12 now=   11255 end=      83163       329       623 U=    16.74 T=   89.6 p1= 638.9 p2=    13.5 ed=   129 5/30/2020   x1=  49. x2=  61. y1=  2.43 y2=  1.71     
GP: Confirmed US_Michigan_Oakland 3/23/2020        61   11255    -         329      623     4   129 5/30/2020 
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .988956 cc2=  .700281 lx=  9.42857 if=  50 il=  61 3/23/2020  n=  11 now=   11255 end=      12438       329       623 U=    11.53 T=   75.9 p1=  10.5 p2=    90.5 ed=   103 5/4/2020    x1=  50. x2=  61. y1=  2.24 y2=  1.29     
GP: Confirmed US_Michigan_Oakland 3/23/2020        61   11255    12438     329      623     4   103 5/4/2020  
AAA2     1 US_Michigan_Oakland Confirmed cc1=  .985749 cc2=  .684237 lx=  8.58857 if=  51 il=  61 3/23/2020  n=  10 now=   11255 end=       5369       329       623 U=    10.14 T=   71.4 p1= -52.3 p2=   209.6 ed=    95 4/26/2020   x1=  51. x2=  61. y1=  2.01 y2=  1.03     
