TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      207693.00000       12.24382
TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_York_NYC Confirmed cc1=  .955277 cc2=  .601723 lx=  8.24382 if=  41 il=  48 3/10/2020  n=   7 now=  207693 end=       3804        26         0 U=    13.92 T=   70.4 p1= -98.2 p2=  5459.9 ed=   103 5/4/2020    x1=  41. x2=  48. y1=  2.11 y2=  1.61     
GP: Confirmed US_New_York_NYC 3/10/2020        48  207693     3804      26        0     0   103 5/4/2020  
AAA2     1 US_New_York_NYC Confirmed cc1=  .933146 cc2=  .555182 lx=  8.24382 if=  42 il=  48 3/10/2020  n=   6 now=  207693 end=       3804        26         0 U=    11.93 T=   67.2 p1= -98.2 p2=  5459.9 ed=    95 4/26/2020   x1=  42. x2=  48. y1=  2.11 y2=  1.61     
GP: Confirmed US_New_York_NYC 3/10/2020        48  207693     3804      26        0     0    95 4/26/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .941611 cc2=  .533363 lx=  8.24382 if=  43 il=  48 3/10/2020  n=   5 now=  207693 end=       3804        26         0 U=    15.69 T=   73.2 p1= -98.2 p2=  5459.9 ed=   110 5/11/2020   x1=  43. x2=  48. y1=  1.93 y2=  1.61     
GP: Confirmed US_New_York_NYC 3/10/2020        48  207693     3804      26        0     0   110 5/11/2020 
AAA1     1 US_New_York_NYC Confirmed cc1=  .969917 cc2=  .653690 lx=  8.24382 if=  40 il=  49 3/11/2020  n=   9 now=  207693 end=       3804        57      3836 U=    13.35 T=   68.2 p1= -98.2 p2=  5459.9 ed=    99 4/30/2020   x1=  40. x2=  49. y1=  2.11 y2=  1.44 BEST
AAA2     1 US_New_York_NYC Confirmed cc1=  .969919 cc2=  .653690 lx=  8.14682 if=  40 il=  49 3/11/2020  n=   9 now=  207693 end=       3804        57      3836 U=    13.35 T=   68.2 p1= -98.2 p2=  5459.9 ed=    99 4/30/2020   x1=  40. x2=  49. y1=  2.11 y2=  1.44 BEST
GP: Confirmed US_New_York_NYC 3/11/2020        49  207693     3804      57     3836     3    99 4/30/2020 
AAA1     1 US_New_York_NYC Confirmed cc1=  .968203 cc2=  .634870 lx=  8.24382 if=  41 il=  49 3/11/2020  n=   8 now=  207693 end=       3804        57      3836 U=    11.87 T=   66.0 p1= -98.2 p2=  5459.9 ed=    94 4/25/2020   x1=  41. x2=  49. y1=  2.11 y2=  1.44 BEST
AAA2     1 US_New_York_NYC Confirmed cc1=  .968280 cc2=  .634870 lx=  8.14382 if=  41 il=  49 3/11/2020  n=   8 now=  207693 end=       3804        57      3836 U=    11.87 T=   66.0 p1= -98.2 p2=  5459.9 ed=    94 4/25/2020   x1=  41. x2=  49. y1=  2.11 y2=  1.44 BEST
GP: Confirmed US_New_York_NYC 3/11/2020        49  207693     3804      57     3836     3    94 4/25/2020 
AAA1     1 US_New_York_NYC Confirmed cc1=  .955404 cc2=  .601851 lx=  8.24382 if=  42 il=  49 3/11/2020  n=   7 now=  207693 end=       3804        57      3836 U=    10.38 T=   63.9 p1= -98.2 p2=  5459.9 ed=    88 4/19/2020   x1=  42. x2=  49. y1=  2.11 y2=  1.44 BEST
AAA2     1 US_New_York_NYC Confirmed cc1=  .955556 cc2=  .601851 lx=  8.14382 if=  42 il=  49 3/11/2020  n=   7 now=  207693 end=       3804        57      3836 U=    10.38 T=   63.9 p1= -98.2 p2=  5459.9 ed=    88 4/19/2020   x1=  42. x2=  49. y1=  2.11 y2=  1.44 BEST
GP: Confirmed US_New_York_NYC 3/11/2020        49  207693     3804      57     3836     3    88 4/19/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .952739 cc2=  .574775 lx= 14.24382 if=  43 il=  49 3/11/2020  n=   6 now=  207693 end=    1534655        57      3836 U=    25.92 T=  109.2 p1= 638.9 p2=    13.5 ed=   170 7/10/2020   x1=  43. x2=  49. y1=  2.55 y2=  2.32     
GP: Confirmed US_New_York_NYC 3/11/2020        49  207693    -          57     3836     3   170 7/10/2020 
