TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4017.00000        8.29829
TAB:  Hungary Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 Hungary Confirmed cc1=  .978994 cc2=  .662766 lx=  6.70829 if=  43 il=  52 3/14/2020  n=   9 now=    4017 end=        819        30       519 U=    15.04 T=   70.0 p1= -79.6 p2=   490.5 ed=   105 5/6/2020    x1=  43. x2=  52. y1=  1.79 y2=  1.20     
GP: Confirmed Hungary 3/14/2020        52    4017      819      30      519     1   105 5/6/2020  
AAA1     1 Hungary Confirmed cc1=  .972324 cc2=  .638991 lx=  6.10829 if=  44 il=  52 3/14/2020  n=   8 now=    4017 end=        449        30       519 U=    11.54 T=   63.5 p1= -88.8 p2=   894.7 ed=    90 4/21/2020   x1=  44. x2=  52. y1=  1.69 y2=  1.00 BEST
AAA2     1 Hungary Confirmed cc1=  .972324 cc2=  .638991 lx=  6.10529 if=  44 il=  52 3/14/2020  n=   8 now=    4017 end=        449        30       519 U=    11.54 T=   63.5 p1= -88.8 p2=   894.7 ed=    90 4/21/2020   x1=  44. x2=  52. y1=  1.69 y2=  1.00 BEST
GP: Confirmed Hungary 3/14/2020        52    4017      449      30      519     1    90 4/21/2020 
AAA2     1 Hungary Confirmed cc1=  .970161 cc2=  .616608 lx= 10.29829 if=  45 il=  52 3/14/2020  n=   7 now=    4017 end=      29681        30       519 U=    27.31 T=  104.7 p1= 638.9 p2=    13.5 ed=   169 7/9/2020    x1=  45. x2=  52. y1=  2.19 y2=  1.93     
GP: Confirmed Hungary 3/14/2020        52    4017    -          30      519     1   169 7/9/2020  
AAA2     1 Hungary Confirmed cc1=  .956801 cc2=  .578837 lx= 10.29829 if=  46 il=  52 3/14/2020  n=   6 now=    4017 end=      29681        30       519 U=    31.34 T=  112.5 p1= 638.9 p2=    13.5 ed=   186 7/26/2020   x1=  46. x2=  52. y1=  2.12 y2=  1.93     
GP: Confirmed Hungary 3/14/2020        52    4017    -          30      519     1   186 7/26/2020 
AAA2     1 Hungary Confirmed cc1=  .947208 cc2=  .538960 lx= 10.29829 if=  47 il=  52 3/14/2020  n=   5 now=    4017 end=      29681        30       519 U=    31.08 T=  112.0 p1= 638.9 p2=    13.5 ed=   185 7/25/2020   x1=  47. x2=  52. y1=  2.09 y2=  1.93     
GP: Confirmed Hungary 3/14/2020        52    4017    -          30      519     1   185 7/25/2020 
AAA2     1 Hungary Confirmed cc1=  .983564 cc2=  .694889 lx=  7.71829 if=  42 il=  53 3/15/2020  n=  11 now=    4017 end=       2249        32       371 U=    21.91 T=   84.7 p1= -44.0 p2=   178.6 ed=   136 6/6/2020    x1=  42. x2=  53. y1=  1.95 y2=  1.45     
GP: Confirmed Hungary 3/15/2020        53    4017     2249      32      371     1   136 6/6/2020  
AAA2     1 Hungary Confirmed cc1=  .984145 cc2=  .682634 lx=  6.34829 if=  43 il=  53 3/15/2020  n=  10 now=    4017 end=        571        32       371 U=    14.84 T=   68.7 p1= -85.8 p2=   703.5 ed=   103 5/4/2020    x1=  43. x2=  53. y1=  1.73 y2=  1.06     
GP: Confirmed Hungary 3/15/2020        53    4017      571      32      371     1   103 5/4/2020  
AAA1     1 Hungary Confirmed cc1=  .979786 cc2=  .663558 lx=  5.84829 if=  44 il=  53 3/15/2020  n=   9 now=    4017 end=        346        32       371 U=    11.66 T=   63.1 p1= -91.4 p2=  1161.0 ed=    90 4/21/2020   x1=  44. x2=  53. y1=  1.64 y2=   .87 BEST
AAA2     1 Hungary Confirmed cc1=  .979786 cc2=  .663558 lx=  5.84329 if=  44 il=  53 3/15/2020  n=   9 now=    4017 end=        346        32       371 U=    11.66 T=   63.1 p1= -91.4 p2=  1161.0 ed=    90 4/21/2020   x1=  44. x2=  53. y1=  1.64 y2=   .87 BEST
GP: Confirmed Hungary 3/15/2020        53    4017      346      32      371     1    90 4/21/2020 
AAA2     1 Hungary Confirmed cc1=  .978989 cc2=  .645655 lx= 10.29829 if=  45 il=  53 3/15/2020  n=   8 now=    4017 end=      29681        32       371 U=    30.11 T=  110.9 p1= 638.9 p2=    13.5 ed=   181 7/21/2020   x1=  45. x2=  53. y1=  2.19 y2=  1.92     
GP: Confirmed Hungary 3/15/2020        53    4017    -          32      371     1   181 7/21/2020 
AAA2     1 Hungary Confirmed cc1=  .971371 cc2=  .617817 lx= 10.29829 if=  46 il=  53 3/15/2020  n=   7 now=    4017 end=      29681        32       371 U=    34.85 T=  120.0 p1= 638.9 p2=    13.5 ed=   202 8/11/2020   x1=  46. x2=  53. y1=  2.12 y2=  1.92     
GP: Confirmed Hungary 3/15/2020        53    4017    -          32      371     1   202 8/11/2020 
AAA2     1 Hungary Confirmed cc1=  .966483 cc2=  .588519 lx= 10.29829 if=  47 il=  53 3/15/2020  n=   6 now=    4017 end=      29681        32       371 U=    35.23 T=  120.7 p1= 638.9 p2=    13.5 ed=   203 8/12/2020   x1=  47. x2=  53. y1=  2.09 y2=  1.92     
GP: Confirmed Hungary 3/15/2020        53    4017    -          32      371     1   203 8/12/2020 
AAA2     1 Hungary Confirmed cc1=  .973891 cc2=  .565643 lx= 10.29829 if=  48 il=  53 3/15/2020  n=   5 now=    4017 end=      29681        32       371 U=    29.36 T=  109.4 p1= 638.9 p2=    13.5 ed=   178 7/18/2020   x1=  48. x2=  53. y1=  2.09 y2=  1.92     
GP: Confirmed Hungary 3/15/2020        53    4017    -          32      371     1   178 7/18/2020 
AAA1     1 Hungary Confirmed cc1=  .987050 cc2=  .709700 lx=  7.31829 if=  42 il=  54 3/16/2020  n=  12 now=    4017 end=       1507        39      1558 U=    20.17 T=   80.1 p1= -62.5 p2=   266.6 ed=   127 5/28/2020   x1=  42. x2=  54. y1=  1.89 y2=  1.30 BEST
AAA2     1 Hungary Confirmed cc1=  .987050 cc2=  .709700 lx=  7.31429 if=  42 il=  54 3/16/2020  n=  12 now=    4017 end=       1507        39      1558 U=    20.17 T=   80.1 p1= -62.5 p2=   266.6 ed=   127 5/28/2020   x1=  42. x2=  54. y1=  1.89 y2=  1.30 BEST
GP: Confirmed Hungary 3/16/2020        54    4017     1507      39     1558     2   127 5/28/2020 
AAA2     1 Hungary Confirmed cc1=  .987803 cc2=  .699128 lx=  6.20829 if=  43 il=  54 3/16/2020  n=  11 now=    4017 end=        496        39      1558 U=    14.22 T=   67.3 p1= -87.7 p2=   809.9 ed=   100 5/1/2020    x1=  43. x2=  54. y1=  1.71 y2=   .93     
GP: Confirmed Hungary 3/16/2020        54    4017      496      39     1558     2   100 5/1/2020  
