TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3186.00000        8.06652
TAB:  US_Kentucky_Jefferson Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Kentucky_Jefferson 3/18/2020        56    3186       58       8       58     4    90 4/21/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .982854 cc2=  .629300 lx=  4.06652 if=  49 il=  56 3/18/2020  n=   7 now=    3186 end=         58         8        58 U=     9.77 T=   62.7 p1= -98.2 p2=  5493.1 ed=    85 4/16/2020   x1=  49. x2=  56. y1=  1.40 y2=   .69 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .983186 cc2=  .629300 lx=  3.96652 if=  49 il=  56 3/18/2020  n=   7 now=    3186 end=         58         8        58 U=     9.77 T=   62.7 p1= -98.2 p2=  5493.1 ed=    85 4/16/2020   x1=  49. x2=  56. y1=  1.40 y2=   .69 BEST
GP: Confirmed US_Kentucky_Jefferson 3/18/2020        56    3186       58       8       58     4    85 4/16/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .976490 cc2=  .598526 lx=  4.06652 if=  50 il=  56 3/18/2020  n=   6 now=    3186 end=         58         8        58 U=    11.34 T=   63.8 p1= -98.2 p2=  5493.1 ed=    90 4/21/2020   x1=  50. x2=  56. y1=  1.22 y2=   .69 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .976769 cc2=  .598526 lx=  3.96652 if=  50 il=  56 3/18/2020  n=   6 now=    3186 end=         58         8        58 U=    11.34 T=   63.8 p1= -98.2 p2=  5493.1 ed=    90 4/21/2020   x1=  50. x2=  56. y1=  1.22 y2=   .69 BEST
GP: Confirmed US_Kentucky_Jefferson 3/18/2020        56    3186       58       8       58     4    90 4/21/2020 
AAA1     1 US_Kentucky_Jefferson Confirmed cc1=  .968910 cc2=  .560662 lx=  4.06652 if=  51 il=  56 3/18/2020  n=   5 now=    3186 end=         58         8        58 U=     9.45 T=   62.5 p1= -98.2 p2=  5493.1 ed=    84 4/15/2020   x1=  51. x2=  56. y1=  1.22 y2=   .69 BEST
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .969493 cc2=  .560662 lx=  3.96652 if=  51 il=  56 3/18/2020  n=   5 now=    3186 end=         58         8        58 U=     9.45 T=   62.5 p1= -98.2 p2=  5493.1 ed=    84 4/15/2020   x1=  51. x2=  56. y1=  1.22 y2=   .69 BEST
GP: Confirmed US_Kentucky_Jefferson 3/18/2020        56    3186       58       8       58     4    84 4/15/2020 
AAA2     1 US_Kentucky_Jefferson Confirmed cc1=  .978622 cc2=  .677111 lx=  4.06652 if=  47 il=  57 3/19/2020  n=  10 now=    3186 end=         58         8         0 U=    13.96 T=   66.6 p1= -98.2 p2=  5493.1 ed=    99 4/30/2020   x1=  47. x2=  57. y1=  1.40 y2=   .69     
GP: Confirmed US_Kentucky_Jefferson 3/19/2020        57    3186       58       8        0     0    99 4/30/2020 
