TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
TAB:  US_New_York_Erie Confirmed 6/9/2020    139     6595     6595     8237       20     7381    13585     9092
AAA2     1 US_New_York_Erie Confirmed cc1=  .984399 cc2=  .576151 lx=  8.99407 if=  52 il=  57 3/19/2020  n=   5 now=    6595 end=       8055        28         0 U=    15.04 T=   83.1 p1=  22.1 p2=    81.9 ed=   118 5/19/2020   x1=  52. x2=  57. y1=  2.07 y2=  1.73     
GP: Confirmed US_New_York_Erie 3/19/2020        57    6595     8055      28        0     0   118 5/19/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .990133 cc2=  .612168 lx= 10.79407 if=  52 il=  58 3/20/2020  n=   6 now=    6595 end=      48730        47       852 U=    17.98 T=   92.8 p1= 638.9 p2=    13.5 ed=   135 6/5/2020    x1=  52. x2=  58. y1=  2.27 y2=  1.94     
GP: Confirmed US_New_York_Erie 3/20/2020        58    6595    -          47      852     1   135 6/5/2020  
AAA1     1 US_New_York_Erie Confirmed cc1=  .997407 cc2=  .589158 lx=  6.81407 if=  53 il=  58 3/20/2020  n=   5 now=    6595 end=        910        47       852 U=     7.61 T=   66.3 p1= -86.2 p2=   724.7 ed=    84 4/15/2020   x1=  53. x2=  58. y1=  1.74 y2=  1.09 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .997407 cc2=  .589158 lx=  6.81007 if=  53 il=  58 3/20/2020  n=   5 now=    6595 end=        910        47       852 U=     7.61 T=   66.3 p1= -86.2 p2=   724.7 ed=    84 4/15/2020   x1=  53. x2=  58. y1=  1.74 y2=  1.09 BEST
GP: Confirmed US_New_York_Erie 3/20/2020        58    6595      910      47      852     1    84 4/15/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .989483 cc2=  .635930 lx=  6.78407 if=  52 il=  59 3/21/2020  n=   7 now=    6595 end=        883        50       209 U=    10.25 T=   69.8 p1= -86.6 p2=   746.9 ed=    94 4/25/2020   x1=  52. x2=  59. y1=  1.74 y2=  1.06     
GP: Confirmed US_New_York_Erie 3/21/2020        59    6595      883      50      209     1    94 4/25/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .993551 cc2=  .615586 lx=  5.34407 if=  53 il=  59 3/21/2020  n=   6 now=    6595 end=        209        50       209 U=     5.52 T=   61.0 p1= -96.8 p2=  3155.5 ed=    74 4/5/2020    x1=  53. x2=  59. y1=  1.45 y2=   .36 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .993551 cc2=  .615586 lx=  5.34007 if=  53 il=  59 3/21/2020  n=   6 now=    6595 end=        209        50       209 U=     5.52 T=   61.0 p1= -96.8 p2=  3155.5 ed=    74 4/5/2020    x1=  53. x2=  59. y1=  1.45 y2=   .36 BEST
GP: Confirmed US_New_York_Erie 3/21/2020        59    6595      209      50      209     1    74 4/5/2020  
AAA2     1 US_New_York_Erie Confirmed cc1=  .989794 cc2=  .581545 lx=  5.62407 if=  54 il=  59 3/21/2020  n=   5 now=    6595 end=        277        50       209 U=     6.54 T=   62.5 p1= -95.8 p2=  2380.9 ed=    77 4/8/2020    x1=  54. x2=  59. y1=  1.30 y2=   .54     
GP: Confirmed US_New_York_Erie 3/21/2020        59    6595      277      50      209     1    77 4/8/2020  
AAA2     1 US_New_York_Erie Confirmed cc1=  .988144 cc2=  .654811 lx=  5.16407 if=  52 il=  60 3/22/2020  n=   8 now=    6595 end=        174        56       119 U=     6.29 T=   60.8 p1= -97.4 p2=  3790.2 ed=    75 4/6/2020    x1=  52. x2=  60. y1=  1.40 y2=   .13     
GP: Confirmed US_New_York_Erie 3/22/2020        60    6595      174      56      119     3    75 4/6/2020  
AAA1     1 US_New_York_Erie Confirmed cc1=  .991088 cc2=  .637535 lx=  4.79407 if=  53 il=  60 3/22/2020  n=   7 now=    6595 end=        120        56       119 U=     4.46 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  53. x2=  60. y1=  1.31 y2=  -.26 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .991346 cc2=  .637535 lx=  4.69407 if=  53 il=  60 3/22/2020  n=   7 now=    6595 end=        120        56       119 U=     4.46 T=   58.8 p1= -98.2 p2=  5495.8 ed=    69 3/31/2020   x1=  53. x2=  60. y1=  1.31 y2=  -.26 BEST
GP: Confirmed US_New_York_Erie 3/22/2020        60    6595      120      56      119     3    69 3/31/2020 
