Country_Region_Safe                                                                                 Smoothing  Classification_Code  nCases   Start_Cases  Peak_Cases  nDeaths  Start_Deaths  Peak_Deaths  Deaths_per_Case  
Mexico_SMO5                                                                                         SMO5       ====                 109341   52           999         12594    56            999          11.70%           
South_Africa_SMO5                                                                                   SMO5       ====                 44549    52           999         945      64            999          2.12%            
Argentina_SMO5                                                                                      SMO5       ====                 21175    53           999         643      49            999          2.93%            
Colombia_SMO5                                                                                       SMO5       ====                 36455    53           999         1228     58            999          3.36%            
Panama_SMO5                                                                                         SMO5       ====                 15591    53           999         377      54            999          2.36%            
Azerbaijan_SMO5                                                                                     SMO5       ====                 7042     58           999         83       57            999          1.18%            
Oman_SMO5                                                                                           SMO5       ====                 15245    58           999         69       71            999          0.46%            
Afghanistan_SMO5                                                                                    SMO5       ====                 18769    60           999         333      60            999          1.76%            
US_Michigan_Unassigned_SMO5                                                                         SMO5       ====                 3757     64           999         179      71            999          4.80%            
Bangladesh_SMO5                                                                                     SMO5       ====                 60933    67           999         831      56            999          1.36%            
Guatemala_SMO5                                                                                      SMO5       ====                 6656     71           999         213      61            999          3.56%            
